# INDEX        X         Y  INTENSITY  ELLIPT
     1   81.5073  124.3071       4879  0.0
     2    8.0331   42.9147       8064  0.0
     3   69.1713  106.6506       6520  0.0
     4  221.8794  149.2542       6069  0.0
     5  238.0602   53.2740       8316  0.0
     6   52.9542  219.4797       4620  0.0
     7   88.2681   67.4409       4822  0.0
     8  175.0200  286.6500       4523  0.0
     9  217.1505  122.4057       4817  0.0
    10  143.1102   80.5200       8404  0.0
    11   65.8782   37.5342       5901  0.0
    12   70.8423  155.7957       5138  0.0
    13   61.6736  211.2432       6789  0.0
    14  274.3854  188.3637       7527  0.0
    15  191.6244  220.4334       7480  0.0
    16  206.6106  236.9289       6282  0.0
    17   72.1007  108.0036       5258  0.0
    18  112.2060  157.7106       8523  0.0
    19  217.9737  248.9175       4166  0.0
    20  118.0653  271.1601       4236  0.0
    21   67.7303  203.8527       8113  0.0
    22   53.7117  109.4502       5048  0.0
    23   16.9110  121.6191       4419  0.0
    24   47.8882  129.2556       7227  0.0
    25   41.4319  198.6465       5982  0.0
    26  285.9543  247.7634       8905  0.0
    27   22.8400  134.4369       8086  0.0
    28   73.4649  210.7698       8882  0.0
    29   93.7674  104.4333       6586  0.0
    30  248.5746   86.2134       4073  0.0
    31  123.5787  153.8442       9802  0.0
    32   31.7496  157.1277       5322  0.0
    33  299.3172  150.9276       5672  0.0
    34  197.7780  265.4808       4111  0.0
    35   18.1713  298.5798       8105  0.0
    36   69.9224  129.4179       7615  0.0
    37  265.7709  275.8695       9789  0.0
    38   62.4501  147.1284       9981  0.0
    39  274.8735  141.8178       8430  0.0
    40  224.6166   47.2359       9479  0.0
    41   48.5383  161.6624       9473  0.0
    42  296.1342  166.0203       9621  0.0
    43   98.6871  273.0540       8793  0.0
    44  107.0706  128.4126       9091  0.0
    45  122.3610  250.9875       6024  0.0
    46  226.8330  254.2311       7366  0.0
    47  203.1489  249.8355       4623  0.0
    48  268.3278  220.9104       9243  0.0
    49  212.1048  170.3886       8984  0.0
    50   49.3428  275.9949       5516  0.0
    51  287.1933  195.1002       9375  0.0
    52   36.6168  270.8547       4170  0.0
    53  273.3870   59.2101       4162  0.0
    54  103.0719  164.5049       6506  0.0
    55  206.9910  116.5203       6405  0.0
    56   74.5220  109.0353       4630  0.0
    57    7.9353  177.1539       9299  0.0
    58  134.4363  228.3141       8397  0.0
    59  129.0411  134.2512       5524  0.0
    60  116.4324  117.4542       7176  0.0
    61  273.1671  189.7203       4154  0.0
    62  227.4138  229.4016       5522  0.0
    63  151.0200  125.0463       6079  0.0
    64   57.7867  106.5350       7111  0.0
    65  288.9939   62.0337       6462  0.0
    66  140.9886  152.9193       5482  0.0
    67   17.0403  169.7181       7862  0.0
    68  202.6500   50.2128       5050  0.0
    69  190.8831   44.5479       9705  0.0
    70  227.5446  238.5936       8965  0.0
    71  149.7006   75.2310       7526  0.0
    72   33.9729  168.9762       6839  0.0
    73   43.4532  235.4148       6390  0.0
    74   95.0529  239.4486       8273  0.0
    75  206.8650  140.7105       6147  0.0
    76  207.3648   11.3931       5080  0.0
    77  155.7231  139.6452       5554  0.0
    78  121.7022  251.5500       6506  0.0
    79   60.6708  233.0976       8702  0.0
    80  103.3908  233.0580       6679  0.0
    81  150.5925  146.2434       9339  0.0
    82   76.5963  292.5900       6800  0.0
    83  194.9436  205.0146       4586  0.0
    84   99.3099  202.9167       4211  0.0
    85  165.9480  200.3304       6955  0.0
    86   43.7253  111.7113       5649  0.0
    87  285.3213  238.5357       4358  0.0
    88   57.3190  176.2985       6099  0.0
    89    5.7795  210.0525       7980  0.0
    90  179.6847   45.1044       4362  0.0
    91    1.3071   46.9326       7096  0.0
    92  131.6235  204.5871       8364  0.0
    93   74.9814  292.8156       5939  0.0
    94  131.4702  106.9713       7795  0.0
    95  122.6457  188.2392       4022  0.0
    96   88.2939  167.5310       5048  0.0
    97   28.4781  244.2087       7455  0.0
    98  224.5785  172.5306       6962  0.0
    99   94.8695  131.6988       6132  0.0
   100  160.6404  237.0705       9040  0.0
   101   85.3662  138.5622       5689  0.0
   102   97.8836  159.7884       5378  0.0
   103  202.5105  141.9606       6462  0.0
   104   51.4723   97.0348       4036  0.0
   105  240.5271   36.7218       9873  0.0
   106  194.0133   31.5570       4914  0.0
   107   79.7004  290.1720       6563  0.0
   108   17.7537  130.3509       5029  0.0
   109   71.6379  237.5817       6395  0.0
   110  194.8548   95.0019       6690  0.0
   111   34.5337  165.6750       7222  0.0
   112   72.2561  248.4024       8175  0.0
   113   64.0611  255.9912       6283  0.0
   114   60.0169  142.5321       8372  0.0
   115  136.8618  222.5673       8356  0.0
   116   54.7338  133.1415       4277  0.0
   117  232.2492   82.0332       5512  0.0
   118   12.8955  228.7806       6058  0.0
   119  225.0138  266.6151       9558  0.0
   120   37.9977  110.1858       4661  0.0
   121  127.7724  254.7156       7434  0.0
   122  171.1008  189.6555       6245  0.0
   123   42.6963  132.0027       8286  0.0
   124  273.5175  161.8995       8795  0.0
   125  263.7177  105.6765       6442  0.0
   126  122.7219  249.5898       7902  0.0
   127   65.3574  167.7705       8736  0.0
   128  194.3022   73.9236       7544  0.0
   129  194.9706  104.1441       5691  0.0
   130  235.9401  110.2875       4668  0.0
   131  105.5658  131.7513       5708  0.0
   132  259.9899  134.6732       7187  0.0
   133   99.2106   91.6254       5659  0.0
   134  127.6809  202.0350       4799  0.0
   135  166.7835   99.2790       7691  0.0
   136  119.6490   27.6855       7506  0.0
   137  198.8028  264.4662       8892  0.0
   138  183.2013   94.9005       6840  0.0
   139  223.8357  130.2285       6052  0.0
   140  123.3318  272.5848       8784  0.0
   141  171.8811  126.6099       6555  0.0
   142  166.4274  119.6562       6742  0.0
   143  211.6056  287.8128       9321  0.0
   144  208.1673   53.7411       9437  0.0
   145  164.3457   35.7696       6309  0.0
   146   51.9492  109.4544       6548  0.0
   147  221.0526  226.4958       4662  0.0
   148  211.1880   40.9893       4068  0.0
   149   89.8887  196.3104       4676  0.0
   150   91.8042  162.7347       4318  0.0
   151   39.5418   82.9861       9015  0.0
   152   65.0794  155.2566       7068  0.0
   153   99.0690  263.0754       7478  0.0
   154   81.2244  222.8223       7104  0.0
   155  205.4136   15.5184       9418  0.0
   156  103.8639  180.5646       7176  0.0
   157  190.1124   66.6921       9813  0.0
   158   79.4886   47.5002       8242  0.0
   159   78.3654  262.8741       6642  0.0
   160   46.8553   87.7923       8210  0.0
   161   30.6840   52.6080       4086  0.0
   162  287.8407    1.2714       4244  0.0
   163   36.1197  243.1497       9269  0.0
   164   57.3096  100.7424       5313  0.0
   165   84.3891   94.2810       5193  0.0
   166   39.0489  135.1836       4745  0.0
   167   20.2380   87.5445       7766  0.0
   168  124.7751  101.5242       6500  0.0
   169  196.0617   99.1353       4799  0.0
   170   82.9635   48.8409       6977  0.0
   171  220.5936  131.5857       8948  0.0
   172   88.4526   19.7556       5913  0.0
   173  108.3165   81.9219       4971  0.0
   174  254.7753  255.3162       7598  0.0
   175  171.3126   75.7854       4277  0.0
   176  186.2412  245.9976       9114  0.0
   177   34.2000  225.2832       7849  0.0
   178   96.8082  129.5151       7461  0.0
   179   58.5018   16.2555       6517  0.0
   180  152.4795   13.4637       9166  0.0
   181  239.9673  115.8489       8231  0.0
   182  248.7765  265.7244       6633  0.0
   183  117.3297   99.6777       9192  0.0
   184    5.7282   65.8803       8746  0.0
   185  136.3956  261.5481       9683  0.0
   186  240.3858  123.6990       7962  0.0
   187   35.9460  250.9416       6187  0.0
   188  204.6468  256.4370       8051  0.0
   189   40.1097   99.6648       6882  0.0
   190  215.9193  218.9403       6013  0.0
   191   25.4922   18.0195       8026  0.0
   192   58.5156   42.0357       4122  0.0
   193  247.7262  281.5626       8148  0.0
   194  108.9345  266.8158       8612  0.0
   195   12.8241  226.7538       6767  0.0
   196   23.7492   15.7161       9208  0.0
   197  170.7948  107.7708       6638  0.0
   198   45.4071  275.3019       4164  0.0
   199  244.2783   56.5071       9948  0.0
