
  ATLAS9 models available in SPECDAT

 Teff                              Log G

 3500             0.0 0.5 1.0 1.5 2.0 2.5 3.0 3.5 4.0 4.5 5.0
 3750             0.0 0.5 1.0 1.5 2.0 2.5 3.0 3.5 4.0 4.5 5.0
 4000             0.0 0.5 1.0 1.5 2.0 2.5 3.0 3.5 4.0 4.5 5.0
 4250             0.0 0.5 1.0 1.5 2.0 2.5 3.0 3.5 4.0 4.5 5.0
 4500             0.0 0.5 1.0 1.5 2.0 2.5 3.0 3.5 4.0 4.5 5.0
 4750             0.0 0.5 1.0 1.5 2.0 2.5 3.0 3.5 4.0 4.5 5.0
 5000             0.0 0.5 1.0 1.5 2.0 2.5 3.0 3.5 4.0 4.5 5.0
 5250             0.0 0.5 1.0 1.5 2.0 2.5 3.0 3.5 4.0 4.5 5.0
 5500             0.0 0.5 1.0 1.5 2.0 2.5 3.0 3.5 4.0 4.5 5.0
 5750             0.0 0.5 1.0 1.5 2.0 2.5 3.0 3.5 4.0 4.5 5.0
 5777                                               4.44
 6000             0.0 0.5 1.0 1.5 2.0 2.5 3.0 3.5 4.0 4.5 5.0
 6250                 0.5 1.0 1.5 2.0 2.5 3.0 3.5 4.0 4.5 5.0
 6500                 0.5 1.0 1.5 2.0 2.5 3.0 3.5 4.0 4.5 5.0
 6750                 0.5 1.0 1.5 2.0 2.5 3.0 3.5 4.0 4.5 5.0
 7000                 0.5 1.0 1.5 2.0 2.5 3.0 3.5 4.0 4.5 5.0
 7250                 0.5 1.0 1.5 2.0 2.5 3.0 3.5 4.0 4.5 5.0
 7500                 0.5 1.0 1.5 2.0 2.5 3.0 3.5 4.0 4.5 5.0
 7750                     1.0 1.5 2.0 2.5 3.0 3.5 4.0 4.5 5.0
 8000                     1.0 1.5 2.0 2.5 3.0 3.5 4.0 4.5 5.0
 8250                     1.0 1.5 2.0 2.5 3.0 3.5 4.0 4.5 5.0
 8500                     1.0 1.5 2.0 2.5 3.0 3.5 4.0 4.5 5.0
 8750                         1.5 2.0 2.5 3.0 3.5 4.0 4.5 5.0
 9000                         1.5 2.0 2.5 3.0 3.5 4.0 4.5 5.0
 9250                             2.0 2.5 3.0 3.5 4.0 4.5 5.0
 9400                                           3.95
 9500                             2.0 2.5 3.0 3.5 4.0 4.5 5.0
 9750                             2.0 2.5 3.0 3.5 4.0 4.5 5.0
10000                             2.0 2.5 3.0 3.5 4.0 4.5 5.0
10500                             2.0 2.5 3.0 3.5 4.0 4.5 5.0
11000                                 2.5 3.0 3.5 4.0 4.5 5.0
11500                                 2.5 3.0 3.5 4.0 4.5 5.0
12000                                 2.5 3.0 3.5 4.0 4.5 5.0
12500                                 2.5 3.0 3.5 4.0 4.5 5.0
13000                                 2.5 3.0 3.5 4.0 4.5 5.0
14000                             2.0 2.5 3.0 3.5 4.0 4.5 5.0
15000                                 2.5 3.0 3.5 4.0 4.5 5.0
16000                                 2.5 3.0 3.5 4.0 4.5 5.0
17000                                 2.5 3.0 3.5 4.0 4.5 5.0
18000                                 2.5 3.0 3.5 4.0 4.5 5.0
19000                                 2.5 3.0 3.5 4.0 4.5 5.0
20000                                     3.0 3.5 4.0 4.5 5.0
21000                                     3.0 3.5 4.0 4.5 5.0
22000                                     3.0 3.5 4.0 4.5 5.0
23000                                     3.0 3.5 4.0 4.5 5.0
24000                                     3.0 3.5 4.0 4.5 5.0
25000                                     3.0 3.5 4.0 4.5 5.0
26000                                     3.0 3.5 4.0 4.5 5.0
27000                                         3.5 4.0 4.5 5.0
28000                                         3.5 4.0 4.5 5.0
29000                                         3.5 4.0 4.5 5.0
30000                                         3.5 4.0 4.5 5.0
31000                                         3.5 4.0 4.5 5.0
32000                                             4.0 4.5 5.0
33000                                             4.0 4.5 5.0
34000                                             4.0 4.5 5.0
35000                                             4.0 4.5 5.0
37500                                                 4.5 5.0
40000                                                 4.5 5.0
42500                                                     5.0
45000                                                     5.0
47500                                                     5.0
50000                                                     5.0
