*
*                   G D 1 9 0
*
*   Table file for GD190 flux standard, based on data
*   from Ap.J.Supp. 27,21-35 Oct 1982.  These data represent
*   directly measured fluxes, and should be used accordingly.
*   This file is designed for use with the Figaro routine GSPIKE.
*
SET .Z.UNITS = "uJy"
SET .Z.LABEL = "Flux"
SET .TABLE.BANDWIDTH = 20
SET .TABLE.LAMBDA_DOUBLE = 5700
*
  3210     7379.043
  3230     7870.457
  3250     7516.227
  3270     7870.457
  3290     7516.227
  3310     7177.942
  3330     7379.043
  3350     7726.797
  3370     7726.797
  3390     7726.797
  3410     7447.316
  3430     7447.316
  3450     7311.388
  3470     7655.963
  3490     7447.316
  3510     7311.388
  3530     7447.316
  3550     7244.354
  3570     7046.931
  3590     7112.132
  3610     6792.033
  3630     6792.033
  3650     7177.942
  3670     7046.931
  3690     6854.875
  3710     6668.066
  3730     6792.033
  3750     6918.305
  3770     6426.872
  3790     6194.408
  3810     5546.256
  3830     5754.396
  3850     6426.872
  3870     6426.872
  3890     5546.256
  3910     6426.872
  3930     6606.930
  3950     6982.322
  3970     6668.066
  3990     6668.066
  4010     5970.353
  4030     5445.021
  4050     6426.872
  4070     6606.930
  4090     6668.066
  4110     6606.930
  4130     6025.592
  4150     6309.577
  4170     6854.875
  4190     6668.066
  4210     7177.942
  4230     6982.322
  4250     6918.305
  4270     7046.931
  4290     7112.132
  4310     6792.033
  4330     6668.066
  4350     6309.577
  4370     5754.396
  4390     5345.640
  4410     5861.377
  4430     5701.637
  4450     5546.256
  4470     4405.549
  4490     5296.634
  4510     5915.614
  4530     5649.368
  4550     5915.614
  4570     6137.615
  4590     6194.408
  4610     6426.872
  4630     6194.408
  4650     6309.577
  4670     6194.408
  4690     6137.615
  4710     5248.072
  4730     5754.396
  4750     6025.592
  4770     6309.577
  4790     6194.408
  4810     6194.408
  4830     6081.349
  4850     6194.408
  4870     6025.592
  4890     5248.072
  4910     4698.940
  4930     4786.299
  4950     5152.286
  4970     5345.640
  4990     5345.640
  5010     4698.940
  5030     5248.072
  5050     4965.925
  5070     5445.021
  5090     5345.640
  5110     5597.578
  5130     5754.396
  5150     5649.368
  5170     5345.640
  5190     5445.021
  5210     5445.021
  5230     5445.021
  5250     5445.021
  5270     5345.640
  5290     5395.105
  5310     5248.072
  5330     5248.072
  5350     5296.634
  5370     5152.286
  5390     5152.286
  5410     5105.047
  5430     5058.241
  5450     4920.395
  5470     5395.105
  5490     5058.241
  5510     5011.871
  5530     4920.395
  5550     4965.925
  5570     5011.871
  5590     4875.282
  5610     4965.925
  5630     4786.299
  5650     4655.858
  5670     4830.583
  5690     4698.940
  5700     4875.282
  5740     4698.940
  5780     4655.858
  5820     4285.485
  5860     3767.036
  5900     3767.036
  5940     4130.477
  5980     4487.448
  6020     3872.575
  6060     4207.263
  6100     4246.194
  6140     4285.485
  6180     3732.498
  6220     4207.263
  6260     4246.194
  6300     4168.693
  6340     3801.893
  6380     3981.071
  6420     3981.071
  6460     3908.409
  6500     3837.070
  6540     3981.071
  6580     3837.070
  6620     3531.831
  6660     3133.284
  6700     2831.390
  6740     3341.948
  6780     3698.281
  6820     3221.068
  6860     3435.578
  6900     3499.449
  6940     3435.578
  6980     3499.449
  7020     3435.578
  7060     3221.068
  7100     3435.578
  7140     3531.831
  7180     3250.874
  7220     3467.368
  7260     3191.536
  7300     3133.284
  7340     3280.951
  7380     3191.536
  7420     3435.578
  7460     3162.278
  7500     3311.307
  7540     2964.829
  7580     3191.536
  7620     2488.857
  7660     2910.716
  7700     3019.952
  7740     3019.952
  7780     3133.284
  7820     2831.390
  7860     3104.557
  7900     2630.265
  7940     2654.604
  7980     2831.390
  8020     2333.456
  8060     2443.428
  8100     2703.959
  8300     2831.390
  8660     2249.053
  9020     2398.833
  9380     1995.263
  9740     2290.866
 10100     2249.053
 10460     2032.355
