*
*                   G R W P 7 0 5 8 2 4
*
*   Table file for flux standard GRWP705824 based on data from
*   Oke, J.B., 1974. Astrophys. J. Supp. Ser. 27, 21.
*   Adapted from SPICA .OKE file of the same or similar name.
*
*   These data are directly measured fluxes and should be used according
*   This file is designed for use with the Figaro routine GSPIKE.
*
SET .Z.UNITS = "mjy"
SET .Z.LABEL = "Flux"
SET .TABLE.BANDWIDTH =  20
SET .TABLE.LAMBDA_DOUBLE =  5700
*
  3210       43.652
  3230       42.855
  3250       40.926
  3270       41.687
  3290       40.551
  3310       40.551
  3330       38.019
  3350       39.084
  3370       38.726
  3390       39.084
  3410       38.019
  3430       38.019
  3450       37.325
  3470       36.644
  3490       36.983
  3510       35.975
  3530       35.645
  3550       34.994
  3570       36.308
  3590       34.674
  3610       34.994
  3630       35.645
  3650       35.645
  3670       35.645
  3690       34.356
  3710       34.041
  3730       32.810
  3750       32.810
  3770       31.333
  3790       30.200
  3810       30.761
  3830       29.107
  3850       31.046
  3870       28.840
  3890       27.797
  3910       29.923
  3930       36.308
  3950       33.729
  3970       29.923
  3990       34.041
  4010       38.371
  4030       39.084
  4050       38.019
  4070       33.729
  4090       27.040
  4110       28.054
  4130       34.674
  4150       36.644
  4170       39.446
  4190       40.179
  4210       40.179
  4230       38.019
  4250       37.670
  4270       35.645
  4290       32.810
  4310       27.797
  4330       21.478
  4350       24.210
  4370       30.479
  4390       29.648
  4410       35.645
  4430       36.308
  4450       38.371
  4470       36.644
  4490       38.371
  4510       37.325
  4530       37.670
  4550       36.308
  4570       37.670
  4590       37.325
  4610       37.670
  4630       36.308
  4650       36.983
  4670       36.308
  4690       35.318
  4710       35.318
  4730       35.645
  4750       34.994
  4770       34.674
  4790       32.509
  4810       30.479
  4830       27.040
  4850       21.086
  4870       22.699
  4890       27.797
  4910       30.200
  4930       31.623
  4950       30.200
  4970       31.915
  4990       32.211
  5010       31.623
  5030       30.479
  5050       30.761
  5070       29.923
  5090       31.046
  5110       30.479
  5130       31.046
  5150       30.200
  5170       29.923
  5190       30.200
  5210       30.479
  5230       30.479
  5250       30.761
  5270       29.648
  5290       30.200
  5310       29.107
  5330       28.840
  5350       28.840
  5370       28.840
  5390       28.314
  5410       28.576
  5430       28.314
  5450       27.040
  5470       27.040
  5490       27.040
  5510       27.040
  5530       25.823
  5550       25.119
  5670       27.542
  5690       27.290
  5700       26.792
  5740       25.586
  5780       25.586
  5820       25.823
  5860       25.351
  5900       24.210
  5940       23.988
  5980       23.988
  6020       23.550
  6060       23.988
  6100       22.491
  6140       23.988
  6180       22.909
  6220       22.491
  6260       22.080
  6300       21.478
  6340       21.878
  6380       21.677
  6420       22.284
  6460       20.893
  6500       19.953
  6540       16.749
  6580       16.596
  6620       18.365
  6660       19.231
  6680       19.055
  6700       20.137
  6840       19.231
  7000       18.707
  7160       18.197
  7180       18.197
  7220       17.539
  7320       17.701
  7480       17.061
  7640       15.996
  7800       15.849
  7960       14.859
  8120       15.276
  8280       15.560
  8440       15.276
  8600       14.588
  8760       14.454
  8920       13.305
  9080       13.062
  9240       12.474
  9400       11.803
  9560       12.942
  9720       12.023
  9880       11.272
 10040        9.376
 10200       10.864
