*
*                   H Z 1 4
*
*   Table file for flux standard HZ14 based on data from
*   Oke, J.B., 1974. Astrophys. J. Supp. Ser. 27, 21.
*   Adapted from SPICA .OKE file of the same or similar name.
*
*   These data are directly measured fluxes and should be used according
*   This file is designed for use with the Figaro routine GSPIKE.
*
SET .Z.UNITS = "mjy"
SET .Z.LABEL = "Flux"
SET .TABLE.BANDWIDTH =  20
SET .TABLE.LAMBDA_DOUBLE =  5700
*
  3230       20.701
  3250       20.324
  3270       19.588
  3290       18.030
  3310       17.539
  3330       17.219
  3350       18.880
  3390       17.061
  3410       17.701
  3430       17.378
  3450       17.701
  3470       16.904
  3490       16.904
  3510       16.904
  3550       16.904
  3570       16.596
  3590       16.596
  3610       15.704
  3630       15.849
  3650       15.417
  3670       15.704
  3710       15.417
  3730       15.276
  3750       14.322
  3770       13.932
  3790       13.428
  3810       13.552
  3830       13.552
  3870       13.804
  3890       13.183
  3910       14.322
  3930       14.588
  3950       13.804
  3970       12.359
  3990       13.677
  4030       15.849
  4050       15.849
  4070       14.454
  4090       11.912
  4110       11.482
  4130       13.552
  4150       14.859
  4190       15.560
  4210       15.560
  4230       15.136
  4250       14.588
  4270       13.428
  4290       12.823
  4310       11.912
  4330        9.550
  4350       10.000
  4370       12.246
  4390       13.183
  4410       13.804
  4430       13.932
  4450       14.454
  4470       14.322
  4490       14.191
  4510       14.322
  4530       14.454
  4550       14.454
  4570       13.804
  4590       13.804
  4610       13.305
  4630       13.305
  4670       13.305
  4690       13.677
  4710       13.428
  4730       13.062
  4750       12.942
  4770       12.706
  4790       12.589
  4810       12.246
  4830       11.066
  4850        9.036
  4870        8.790
  4890       10.280
  4910       11.272
  4930       11.482
  4950       11.588
  4970       11.912
  4990       12.023
  5010       11.803
  5030       11.169
  5050       11.066
  5070       11.066
  5090       11.169
  5110       11.376
  5130       11.482
  5150       11.588
  5170       11.482
  5190       11.482
  5210       11.272
  5230       11.482
  5250       10.765
  5270       10.864
  5310       10.965
  5330       10.864
  5350       10.568
  5370       10.568
  5390       10.471
  5410       10.280
  5430       10.280
  5470       10.280
  5490       10.000
  5510        9.638
  5530        9.908
  5550        9.638
  5570        9.462
  5590        9.727
  5630        9.727
  5650        9.550
  5670        9.462
  5690        9.462
  5700        9.290
  5740        9.204
  5820        9.036
  5860        9.290
  5900        8.710
  5940        9.036
  5980        8.630
  6020        8.091
  6060        8.166
  6100        8.166
  6180        8.472
  6220        8.551
  6260        8.091
  6300        7.870
  6340        7.516
  6380        7.178
  6420        7.379
  6460        7.244
  6540        6.081
  6580        5.649
  6620        6.730
  6660        7.047
  7060        6.081
  7100        6.026
  7140        6.138
  7180        6.252
  7260        6.081
  7300        6.081
  7340        6.026
  7380        6.138
  7420        6.138
