*
*                   H Z 2
*
*   Table file for flux standard HZ2 based on data from
*   Oke, J.B., 1974. Astrophys. J. Supp. Ser. 27, 21.
*   Adapted from SPICA .OKE file of the same or similar name.
*
*   These data are directly measured fluxes and should be used according
*   This file is designed for use with the Figaro routine GSPIKE.
*
SET .Z.UNITS = "mjy"
SET .Z.LABEL = "Flux"
SET .TABLE.BANDWIDTH =  20
SET .TABLE.LAMBDA_DOUBLE =  5700
*
  3210       13.183
  3230       13.183
  3250       12.359
  3270       12.474
  3290       11.912
  3310       10.471
  3330       11.376
  3350       12.246
  3370       11.272
  3390       11.588
  3410       10.965
  3430       11.695
  3450       11.482
  3470       10.864
  3490       11.169
  3510       11.066
  3530       10.965
  3550       11.169
  3570       11.272
  3590       11.272
  3610       10.864
  3630       10.765
  3650       10.186
  3670       10.666
  3690       10.375
  3710       10.280
  3730       10.280
  3750       10.375
  3770        9.638
  3790        9.550
  3810        9.290
  3830        9.638
  3850        9.727
  3870        9.462
  3890        9.462
  3910       10.280
  3930       10.965
  3950       10.280
  3970        8.472
  3990       10.000
  4010       11.272
  4030       12.134
  4050       11.912
  4070       11.066
  4090        8.395
  4110        8.091
  4130       10.000
  4150       11.588
  4170       12.589
  4190       12.359
  4210       12.246
  4230       12.589
  4250       11.803
  4270       11.066
  4290        9.908
  4310        9.204
  4330        7.244
  4350        7.311
  4370        9.462
  4390       10.864
  4410       11.482
  4430       11.588
  4450       11.803
  4470       11.695
  4490       11.803
  4510       11.803
  4530       11.588
  4550       12.023
  4570       11.482
  4590       11.482
  4610       11.169
  4630       11.482
  4650       11.376
  4670       10.965
  4690       11.066
  4710       11.376
  4730       11.169
  4750       10.765
  4770       10.471
  4790       10.375
  4810        9.462
  4830        8.551
  4850        6.792
  4870        7.047
  4890        8.551
  4910        9.036
  4930        9.462
  4950        9.727
  4970        9.908
  4990       10.186
  5010       10.000
  5030        9.638
  5050        9.376
  5070        9.817
  5090        9.376
  5110       10.093
  5130        9.727
  5150        9.817
  5170        9.908
  5190       10.280
  5210        9.550
  5230        9.376
  5250        9.290
  5270        9.462
  5290        9.376
  5310        9.462
  5330        9.120
  5350        9.036
  5370        8.954
  5390        8.872
  5410        8.872
  5430        8.790
  5450        9.290
  5470        8.472
  5490        8.551
  5510        8.710
  5530        8.630
  5550        8.551
  5570        8.551
  5590        8.318
  5610        8.395
  5630        8.318
  5650        8.318
  5670        8.395
  5690        8.241
  5700        8.017
  5740        8.017
  5780        7.727
  5820        7.943
  5860        7.727
  5900        7.798
  5940        7.447
  5980        7.586
  6020        7.447
  6060        7.447
  6100        7.379
  6140        7.244
  6180        7.311
  6220        7.516
  6260        7.047
  6300        6.982
  6340        6.730
  6380        6.730
  6420        6.607
  6460        6.546
  6500        6.138
  6540        5.152
  6580        4.920
  6620        6.081
  6660        6.026
  6700        6.252
  7060        5.649
  7100        5.754
  7140        5.445
  7180        5.916
  7220        5.546
