*
*                   L 1 5 1 2 M 3 4 B
*
*   Table file for flux standard L1512M34B based on data from
*   Oke, J.B., 1974. Astrophys. J. Supp. Ser. 27, 21.
*   Adapted from SPICA .OKE file of the same or similar name.
*
*   These data are directly measured fluxes and should be used according
*   This file is designed for use with the Figaro routine GSPIKE.
*
SET .Z.UNITS = "mjy"
SET .Z.LABEL = "Flux"
SET .TABLE.BANDWIDTH =  20
SET .TABLE.LAMBDA_DOUBLE =  5700
*
  3210       20.137
  3230       19.055
  3250       19.231
  3270       20.701
  3290       19.055
  3310       19.231
  3330       18.707
  3350       19.588
  3370       19.588
  3390       19.231
  3410       18.535
  3430       19.409
  3450       19.588
  3470       19.770
  3490       19.953
  3510       18.707
  3530       20.324
  3550       19.588
  3570       18.707
  3590       18.707
  3610       19.409
  3630       19.588
  3650       19.588
  3670       19.231
  3690       19.231
  3710       18.707
  3730       18.197
  3750       18.197
  3770       18.365
  3790       17.539
  3810       18.197
  3830       17.378
  3850       18.880
  3870       18.030
  3890       15.276
  3910       20.137
  3930       22.699
  3950       19.953
  3970       16.144
  3990       20.512
  4010       23.988
  4030       26.062
  4050       25.119
  4070       22.699
  4090       16.749
  4110       16.749
  4130       22.909
  4150       25.586
  4170       28.314
  4190       28.576
  4210       28.840
  4230       29.107
  4250       28.054
  4270       26.062
  4290       23.335
  4310       19.409
  4330       14.322
  4350       16.293
  4370       20.512
  4390       24.434
  4410       26.792
  4430       28.054
  4450       29.648
  4470       30.200
  4490       29.923
  4510       30.200
  4530       29.376
  4550       30.761
  4570       29.923
  4590       29.923
  4610       29.648
  4630       29.648
  4650       29.107
  4670       28.840
  4690       28.314
  4710       28.576
  4730       28.314
  4750       27.290
  4770       27.040
  4790       25.119
  4810       23.550
  4830       20.701
  4850       14.454
  4870       15.849
  4890       20.512
  4910       22.909
  4930       24.434
  4950       25.119
  4970       26.303
  4990       26.546
  5010       25.586
  5030       25.351
  5050       25.586
  5070       26.303
  5090       27.542
  5110       26.792
  5130       26.546
  5150       28.054
  5170       26.303
  5190       25.823
  5210       26.792
  5230       26.546
  5250       26.303
  5270       26.303
  5290       26.303
  5310       25.351
  5330       25.119
  5350       25.351
  5370       25.823
  5390       25.586
  5410       25.586
  5430       25.119
  5450       24.889
  5470       25.119
  5490       23.768
  5510       24.434
  5530       24.660
  5550       24.434
  5570       24.889
  5590       24.660
  5610       24.434
  5630       24.210
  5650       23.335
  5670       24.210
  5690       23.768
  5700       23.768
  5740       23.335
  5780       22.491
  5820       22.699
  5860       22.080
  5900       22.284
  5940       21.878
  5980       22.080
  6020       22.491
  6060       21.878
  6100       21.478
  6140       21.478
  6180       21.478
  6220       21.086
  6260       21.281
  6300       20.512
  6340       20.701
  6380       19.953
  6420       19.588
  6460       18.197
  6500       17.539
  6540       14.191
  6580       12.474
  6620       16.596
  6660       17.378
  6700       18.535
  7060       18.535
  7100       18.197
  7140       18.197
  7180       18.197
  7220       17.701
  7320       16.749
  7480       16.444
  7640       15.849
  7800       16.144
  7960       15.849
  8120       15.417
  8280       14.997
  8440       15.276
  8600       14.723
  8760       13.183
  8920       13.428
  9080       13.183
  9240       13.305
  9400       12.023
  9560       11.695
  9720       11.912
  9880       12.246
 10040       11.695
