*
*                   L 8 7 0 M 2
*
*   Table file for flux standard L870M2 based on data from
*   Oke, J.B., 1974. Astrophys. J. Supp. Ser. 27, 21.
*   Adapted from SPICA .OKE file of the same or similar name.
*
*   These data are directly measured fluxes and should be used according
*   This file is designed for use with the Figaro routine GSPIKE.
*
SET .Z.UNITS = "mjy"
SET .Z.LABEL = "Flux"
SET .TABLE.BANDWIDTH =  20
SET .TABLE.LAMBDA_DOUBLE =  5700
*
  3210       13.428
  3230       13.677
  3250       14.191
  3270       13.677
  3290       13.932
  3310       13.932
  3330       14.060
  3350       14.588
  3370       14.454
  3390       14.454
  3410       15.417
  3430       15.849
  3450       15.849
  3470       16.444
  3490       15.996
  3510       15.849
  3530       15.704
  3550       15.560
  3570       15.560
  3590       17.061
  3610       16.749
  3630       16.444
  3650       17.061
  3670       17.378
  3690       17.539
  3710       17.539
  3730       17.865
  3750       17.539
  3770       17.219
  3790       16.749
  3810       17.701
  3830       17.061
  3850       18.197
  3870       18.365
  3890       16.596
  3910       18.880
  3930       19.953
  3950       20.137
  3970       18.365
  3990       20.137
  4010       20.512
  4030       20.893
  4050       20.893
  4070       21.086
  4090       18.535
  4110       19.953
  4130       21.086
  4150       21.478
  4170       21.677
  4190       21.878
  4210       21.677
  4230       22.080
  4250       21.677
  4270       21.478
  4290       20.701
  4310       20.512
  4330       17.061
  4350       20.137
  4370       21.878
  4390       22.284
  4410       22.491
  4430       22.909
  4450       23.335
  4470       22.909
  4490       23.121
  4510       23.768
  4530       23.335
  4550       24.434
  4570       23.988
  4590       24.210
  4610       23.768
  4630       23.550
  4650       24.210
  4670       24.210
  4690       24.434
  4710       24.660
  4730       25.119
  4750       24.889
  4770       25.351
  4790       25.119
  4810       25.586
  4830       25.351
  4850       21.281
  4870       22.909
  4890       25.351
  4910       25.351
  4930       25.586
  4950       25.351
  4970       26.062
  4990       25.823
  5010       25.586
  5030       24.889
  5050       25.119
  5070       25.119
  5090       25.351
  5110       26.062
  5130       25.586
  5150       25.586
  5170       26.546
  5190       26.792
  5210       27.040
  5230       26.792
  5250       26.546
  5270       26.546
  5290       26.303
  5310       26.303
  5330       26.303
  5350       27.040
  5370       27.040
  5390       26.792
  5410       27.040
  5430       26.792
  5450       27.040
  5470       26.792
  5490       26.303
  5510       26.303
  5530       27.040
  5550       27.040
  5570       26.792
  5590       27.290
  5610       27.542
  5630       26.792
  5650       27.040
  5670       28.054
  5690       27.290
  5700       27.290
  5740       27.290
  5780       27.290
  5820       27.290
  5860       27.542
  5900       27.290
  5940       27.290
  5980       26.792
  6020       27.290
  6060       28.054
  6100       28.054
  6140       27.797
  6180       28.576
  6220       28.314
  6260       28.314
  6300       28.054
  6340       27.797
  6380       28.314
  6420       27.797
  6460       28.054
  6500       27.542
  6540       24.434
  6580       22.080
  6620       28.314
  6660       28.314
  6700       28.054
  7060       28.314
  7100       27.797
  7140       27.797
  7180       28.054
  7220       27.797
