*
*                   L B 1 2 4 0
*
*   Table file for flux standard LB1240 based on data from
*   Oke, J.B., 1974. Astrophys. J. Supp. Ser. 27, 21.
*   Adapted from SPICA .OKE file of the same or similar name.
*
*   These data are directly measured fluxes and should be used according
*   This file is designed for use with the Figaro routine GSPIKE.
*
SET .Z.UNITS = "mjy"
SET .Z.LABEL = "Flux"
SET .TABLE.BANDWIDTH =  20
SET .TABLE.LAMBDA_DOUBLE =  5700
*
  3210        8.395
  3230        8.091
  3250        8.241
  3270        8.017
  3290        8.166
  3310        7.586
  3330        7.727
  3350        7.798
  3370        7.244
  3390        7.727
  3410        7.656
  3430        7.586
  3450        7.586
  3470        7.727
  3490        7.447
  3510        7.379
  3530        7.379
  3550        7.798
  3570        7.870
  3590        7.586
  3610        7.447
  3630        7.516
  3650        7.586
  3670        7.798
  3690        7.656
  3710        7.379
  3730        7.379
  3750        7.516
  3770        7.047
  3790        6.546
  3810        7.047
  3830        6.855
  3850        7.447
  3870        7.311
  3890        6.194
  3910        7.379
  3930        8.017
  3950        7.727
  3970        6.252
  3990        8.395
  4010        9.376
  4030       10.471
  4050        9.727
  4070        8.318
  4090        6.081
  4110        6.427
  4130        8.954
  4150       10.280
  4170       10.864
  4190       11.169
  4210       11.169
  4230       11.482
  4250       10.568
  4270       10.280
  4290        9.120
  4310        7.870
  4330        5.649
  4350        6.310
  4370        8.551
  4390        9.727
  4410       10.280
  4430       10.864
  4450       11.376
  4470       11.695
  4490       11.803
  4510       11.588
  4530       11.482
  4550       11.803
  4570       11.588
  4590       11.695
  4610       11.482
  4630       11.588
  4650       11.376
  4670       11.376
  4690       11.272
  4710       11.482
  4730       11.066
  4750       10.864
  4770       10.471
  4790        9.908
  4810        9.376
  4830        8.630
  4850        6.138
  4870        6.310
  4890        7.943
  4910        8.872
  4930        9.550
  4950        9.908
  4970       10.186
  4990       10.093
  5010       10.000
  5030       10.000
  5050        9.727
  5070       10.093
  5090       10.666
  5110       10.666
  5130       10.666
  5150       10.864
  5170       10.186
  5190       10.666
  5210       10.471
  5230       10.186
  5250       10.280
  5270       10.471
  5290       10.093
  5310       10.280
  5330       10.375
  5350        9.290
  5370        9.550
  5390        9.817
  5410       10.093
  5430        9.908
  5450        9.908
  5470        9.727
  5490        9.204
  5510        9.908
  5530        9.638
  5550        9.638
  5570        9.638
  5590        9.638
  5610        9.550
  5630        9.638
  5650        9.376
  5670        9.376
  5690        9.376
  5700        9.550
  5740        9.290
  5780        9.036
  5820        9.290
  5860        9.120
  5900        8.954
  5940        8.872
  5980        8.790
  6020        8.472
  6060        8.710
  6100        8.630
  6140        8.551
  6180        8.551
  6220        8.710
  6260        8.395
  6300        8.241
  6340        8.166
  6380        7.943
  6420        7.870
  6460        7.586
  6500        6.792
  6540        5.445
  6580        5.346
  6620        6.792
  6660        7.311
  6700        7.311
  7060        7.178
  7100        6.982
  7140        7.244
  7180        7.112
  7220        6.855
