*
*                   L B 2 2 7
*
*   Table file for flux standard LB227 based on data from
*   Oke, J.B., 1974. Astrophys. J. Supp. Ser. 27, 21.
*   Adapted from SPICA .OKE file of the same or similar name.
*
*   These data are directly measured fluxes and should be used according
*   This file is designed for use with the Figaro routine GSPIKE.
*
SET .Z.UNITS = "mjy"
SET .Z.LABEL = "Flux"
SET .TABLE.BANDWIDTH =  20
SET .TABLE.LAMBDA_DOUBLE =  5700
*
  3210        3.105
  3230        2.805
  3250        2.754
  3270        3.048
  3290        2.559
  3310        2.582
  3330        2.831
  3350        2.270
  3370        2.805
  3390        2.780
  3410        2.582
  3430        2.582
  3450        2.780
  3470        2.559
  3490        2.535
  3510        2.466
  3530        2.630
  3550        2.559
  3570        2.606
  3590        2.399
  3610        2.606
  3630        2.512
  3650        2.535
  3670        2.333
  3690        2.291
  3710        2.512
  3730        2.582
  3750        2.355
  3770        2.355
  3790        2.208
  3810        2.249
  3830        2.249
  3850        2.270
  3870        2.291
  3890        1.995
  3910        2.377
  3930        2.655
  3950        2.466
  3970        2.128
  3990        2.512
  4010        2.704
  4030        3.076
  4050        3.133
  4070        2.780
  4090        2.128
  4110        2.109
  4130        2.582
  4150        2.992
  4170        3.281
  4190        3.404
  4210        3.467
  4230        3.499
  4250        3.373
  4270        3.105
  4290        2.780
  4310        2.535
  4330        1.854
  4350        1.923
  4370        2.559
  4390        2.858
  4410        3.076
  4430        3.251
  4450        3.311
  4470        3.436
  4490        3.631
  4510        3.565
  4530        3.565
  4550        3.499
  4570        3.532
  4590        3.499
  4610        3.342
  4630        3.404
  4650        3.467
  4670        3.311
  4690        3.404
  4710        3.342
  4730        3.281
  4750        3.133
  4770        3.048
  4790        2.884
  4810        2.559
  4830        2.377
  4850        1.803
  4870        1.803
  4890        2.312
  4910        2.489
  4930        2.704
  4950        2.831
  4970        2.992
  4990        3.020
  5010        2.858
  5030        2.884
  5050        2.911
  5070        3.133
  5090        3.020
  5110        2.938
  5130        3.133
  5150        3.105
  5170        3.192
  5190        2.992
  5210        2.992
  5230        2.858
  5250        2.992
  5270        2.858
  5290        3.020
  5310        2.965
  5330        2.805
  5350        2.858
  5370        2.965
  5390        2.805
  5410        2.780
  5430        2.911
  5450        2.831
  5470        2.938
  5490        2.729
  5510        2.535
  5530        2.630
  5550        2.754
  5570        2.805
  5590        2.805
  5610        2.582
  5630        2.704
  5650        2.512
  5670        2.630
  5690        2.489
  5700        2.606
  5740        2.559
  5780        2.443
  5820        2.489
  5860        2.535
  5900        2.377
  5940        2.333
  5980        2.399
  6020        2.466
  6060        2.333
  6100        2.249
  6140        2.355
  6180        2.270
  6220        2.291
  6260        2.208
  6300        2.208
  6340        2.148
  6380        2.208
  6420        2.089
  6460        1.871
  6500        1.722
  6540        1.393
  6580        1.380
  6620        1.770
  6660        1.820
  6700        1.923
  7060        1.871
  7100        1.837
  7140        1.738
  7180        1.770
  7220        1.675
