*
*                   L D S 7 4 9 B
*
*   Table file for LDS749B flux standard, based on data
*   from Ap.J.Supp. 27,21-35 Oct 1982.  These data represent
*   directly measured fluxes, and should be used accordingly.
*   This file is designed for use with the Figaro routine GSPIKE.
*
SET .Z.UNITS = "uJy"
SET .Z.LABEL = "Flux"
SET .TABLE.BANDWIDTH = 20
SET .TABLE.LAMBDA_DOUBLE = 5700
*
  3210     4786.299
  3230     6194.408
  3250     6309.577
  3270     6606.930
  3290     5395.105
  3310     5807.644
  3330     6194.408
  3350     6194.408
  3370     5597.578
  3390     6309.577
  3410     6137.615
  3430     5649.368
  3450     6251.727
  3470     6025.592
  3490     6025.592
  3510     6251.727
  3530     6081.349
  3550     6137.615
  3570     6025.592
  3590     5970.353
  3610     5861.377
  3630     5861.377
  3650     5807.644
  3670     6137.615
  3690     5754.396
  3710     5807.644
  3730     5861.377
  3750     6137.615
  3770     5701.637
  3790     5495.406
  3810     5199.961
  3830     5296.634
  3850     5395.105
  3870     5345.640
  3890     4965.925
  3910     5701.637
  3930     6081.349
  3950     6025.592
  3970     6194.408
  3990     6025.592
  4010     5395.105
  4030     5546.256
  4050     6081.349
  4070     6367.954
  4090     6251.727
  4110     5915.614
  4130     5754.396
  4150     5807.644
  4170     5546.256
  4190     5861.377
  4210     5754.396
  4230     5861.377
  4250     5807.644
  4270     5754.396
  4290     5807.644
  4310     5597.578
  4330     5597.578
  4350     5701.637
  4370     5701.637
  4390     5649.368
  4410     5546.256
  4430     5546.256
  4450     5152.286
  4470     4613.176
  4490     5345.640
  4510     5546.256
  4530     5546.256
  4550     5546.256
  4570     5597.578
  4590     5597.578
  4610     5597.578
  4630     5546.256
  4650     5495.406
  4670     5395.105
  4690     5649.368
  4710     5296.634
  4730     5546.256
  4750     5546.256
  4770     5395.105
  4790     5807.644
  4810     5546.256
  4830     5495.406
  4850     5395.105
  4870     5395.105
  4890     5296.634
  4910     5011.871
  4930     5105.047
  4950     5152.286
  4970     5199.961
  4990     5105.047
  5010     4786.299
  5030     4875.282
  5050     5058.241
  5070     4920.395
  5090     5199.961
  5110     4830.583
  5130     4965.925
  5150     5199.961
  5170     4920.395
  5190     4965.925
  5210     5058.241
  5230     5152.286
  5250     5105.047
  5270     5058.241
  5290     5011.871
  5310     5011.871
  5330     5011.871
  5350     4920.395
  5370     4920.395
  5390     4875.282
  5410     4875.282
  5430     5058.241
  5450     4830.583
  5470     4570.880
  5490     4613.176
  5510     4742.416
  5530     4830.583
  5550     4786.299
  5570     4786.299
  5590     4698.940
  5610     4830.583
  5630     4570.880
  5650     4655.858
  5670     4570.880
  5690     5011.871
  5700     4446.311
  5740     4570.880
  5780     4405.549
  5820     4446.311
  5860     3908.409
  5900     4246.194
  5940     4365.157
  5980     4365.157
  6020     4246.194
  6060     4365.157
  6100     4285.485
  6140     4285.485
  6180     4246.194
  6220     4285.485
  6260     4365.157
  6300     4207.263
  6340     4207.263
  6380     4246.194
  6420     4130.477
  6460     4130.477
  6500     4130.477
  6540     4130.477
  6580     4092.606
  6620     3908.409
  6660     3732.498
  6680     3767.036
  6840     3597.491
  7000     3531.831
  7160     3597.491
  7320     3435.578
  7480     3404.083
  7640     3191.536
  7800     3280.951
  7960     3162.278
  8120     3104.557
  8280     3047.896
  8440     2992.264
  8600     3047.896
  8760     2831.390
  8920     3104.557
  9080     2728.977
  9240     2779.712
  9400     2290.866
  9560     2831.390
  9720     2421.028
  9880     2535.128
 10040     2606.153
 10200     2606.153
