*
*    P A L O M A R      Extinction coefficients
*
*    These are the extinction coefficients for Palomar.
*    The values are taken from TYB's Forth code, and
*    appear to represent local fokelore (originating
*    with some Oke data).
*
SET .Z.LABEL = "Extinction"
*
 3150.   1.380  
 3160.   1.275  
 3170.   1.212  
 3180.   1.155  
 3190.   1.103  
 3200.   1.055  
 3210.   1.015  
 3220.   0.980  
 3230.   0.950  
 3240.   0.923 
 3250.   0.897 
 3260.   0.875 
 3270.   0.856 
 3280.   0.835 
 3290.   0.815 
 3300.   0.797 
 3320.   0.763 
 3340.   0.734 
 3360.   0.710 
 3380.   0.693 
 3400.   0.676 
 3450.   0.645 
 3500.   0.580 
 3600.   0.515 
 3700.   0.456 
 3800.   0.415 
 3900.   0.370 
 4000.   0.315 
 4100.   0.277 
 4200.   0.246 
 4300.   0.221 
 4400.   0.197 
 4500.   0.174 
 4600.   0.155 
 4700.   0.139 
 4800.   0.127 
 4900.   0.117 
 5000.   0.108 
 5200.   0.097 
 5400.   0.086 
 5600.   0.080 
 5800.   0.075 
 6000.   0.057 
 6100.   0.043 
 6200.   0.052 
 6500.   0.033 
 6820.   0.030 
 6880.   0.088 
 6980.   0.030 
 7140.   0.030 
 7180.   0.090 
 7220.   0.050 
 7300.   0.040 
 7340.   0.030 
 7570.   0.030 
 7620.   0.030 
 7680.   0.030 
 8100.   0.030 
 8140.   0.040 
 8300.   0.040 
 8350.   0.030 
 8900.   0.030 
 8980.   0.120 
 9060.   0.070 
 9260.   0.070 
 9340.   0.600 
 9380.   0.390 
 9420.   0.350 
 9460.   0.420 
 9500.   0.360 
 9540.   0.370 
 9580.   0.290 
 9620.   0.200 
 9700.   0.030 
 9740.   0.070 
 9860.   0.030 
12500.   0.030 
