*
*                   R 6 2 7
*
*   Table file for flux standard R627 based on data from
*   Oke, J.B., 1974. Astrophys. J. Supp. Ser. 27, 21.
*   Adapted from SPICA .OKE file of the same or similar name.
*
*   These data are directly measured fluxes and should be used according
*   This file is designed for use with the Figaro routine GSPIKE.
*
SET .Z.UNITS = "mjy"
SET .Z.LABEL = "Flux"
SET .TABLE.BANDWIDTH =  40
SET .TABLE.LAMBDA_DOUBLE =  5880
*
  3160        4.246
  3200        4.246
  3240        4.169
  3280        4.285
  3320        4.487
  3360        4.656
  3400        4.699
  3440        4.875
  3480        4.875
  3520        5.058
  3560        5.058
  3600        5.200
  3640        5.248
  3680        5.346
  3720        5.445
  3760        5.152
  3800        5.248
  3840        5.754
  3880        5.395
  3920        5.395
  3960        5.495
  4000        5.546
  4040        5.861
  4080        5.808
  4120        5.970
  4160        6.368
  4200        6.546
  4240        6.668
  4280        6.486
  4320        6.138
  4360        5.598
  4400        6.252
  4440        6.668
  4480        6.668
  4520        7.047
  4560        7.244
  4600        7.379
  4640        7.516
  4680        7.311
  4720        7.447
  4760        7.516
  4800        7.586
  4840        7.047
  4880        7.047
  4920        7.727
  4960        7.727
  5000        7.798
  5040        7.870
  5080        7.798
  5120        7.798
  5160        7.727
  5200        8.091
  5240        8.241
  5280        8.017
  5400        8.166
  5440        7.870
  5480        7.943
  5520        8.395
  5560        7.943
  5600        8.241
  5640        8.166
  5680        8.091
  5720        8.166
  5760        8.241
  5800        8.472
  5880        8.551
  5960        8.710
  6040        8.630
  6120        8.551
  6200        8.472
  6280        8.790
  6360        8.630
  6440        8.395
  6520        7.870
  6600        7.870
  6680        8.395
  6760        8.395
  6840        8.166
  6920        8.472
  7000        8.241
  7080        8.630
  7160        8.790
  7240        8.790
  7320        8.630
  7400        8.551
  7480        8.472
  7560        7.870
  7640        8.318
  7720        8.091
  7800        8.318
  7880        7.943
  7960        7.798
  8040        7.798
  8120        7.727
  8200        8.954
  8280        8.790
  8360        8.551
  8440        8.630
  8520        8.318
  8600        8.630
  8680        7.943
  8760        8.790
  8840        8.954
  8920        8.790
  9000        8.790
  9080        8.017
  9160        8.241
  9240        8.091
  9320        8.872
  9400        9.120
  9480        8.241
  9560        9.727
  9640        8.954
  9720        9.204
  9800        8.872
  9880        9.817
  9960        8.954
 10040        8.872
 10120        8.630
 10200        6.730
 10280        8.551
 10360        8.017
 10440        8.091
 10520        8.318
 10600        7.798
 10680        8.318
 10760       10.093
 10840        7.798
