*
*                   S A 2 9 M 1 3 0
*
*   Table file for flux standard SA29M130 based on data from
*   Oke, J.B., 1974. Astrophys. J. Supp. Ser. 27, 21.
*   Adapted from SPICA .OKE file of the same or similar name.
*
*   These data are directly measured fluxes and should be used according
*   This file is designed for use with the Figaro routine GSPIKE.
*
SET .Z.UNITS = "mjy"
SET .Z.LABEL = "Flux"
SET .TABLE.BANDWIDTH =  20
SET .TABLE.LAMBDA_DOUBLE =  5700
*
  3210       15.849
  3230       15.560
  3250       13.804
  3270       16.293
  3290       14.588
  3310       15.560
  3330       14.723
  3350       15.704
  3370       16.144
  3390       17.061
  3410       14.723
  3430       14.859
  3450       15.560
  3470       16.749
  3490       15.560
  3510       15.996
  3530       16.444
  3550       15.704
  3570       14.322
  3590       15.276
  3610       15.136
  3630       15.849
  3650       14.997
  3670       14.997
  3690       15.136
  3710       15.276
  3730       14.060
  3750       14.322
  3770       14.454
  3790       13.804
  3810       13.552
  3830       12.823
  3850       14.997
  3870       14.588
  3890       11.272
  3910       16.749
  3930       18.707
  3950       16.444
  3970       13.428
  3990       18.365
  4010       22.491
  4030       23.335
  4050       20.324
  4070       18.197
  4090       13.183
  4110       15.417
  4130       19.231
  4150       22.284
  4170       24.210
  4190       25.119
  4210       23.335
  4230       24.434
  4250       23.550
  4270       22.284
  4290       20.324
  4310       16.749
  4330       12.474
  4350       14.723
  4370       17.219
  4390       20.701
  4410       22.284
  4430       23.768
  4450       23.768
  4470       24.210
  4490       24.210
  4510       24.889
  4530       23.335
  4550       23.988
  4570       24.210
  4590       23.768
  4610       23.550
  4630       23.550
  4650       23.550
  4670       23.335
  4690       22.699
  4710       22.699
  4730       23.121
  4750       22.491
  4770       21.281
  4790       20.137
  4810       18.880
  4830       16.444
  4850       11.803
  4870       13.932
  4890       16.749
  4910       18.535
  4930       19.953
  4950       20.137
  4970       21.086
  4990       21.086
  5010       19.770
  5030       19.953
  5050       20.137
  5070       21.281
  5090       21.086
  5110       20.324
  5130       22.080
  5150       21.478
  5170       20.512
  5190       20.324
  5210       20.893
  5230       20.893
  5250       20.512
  5270       19.953
  5290       20.512
  5310       19.953
  5330       19.770
  5350       19.770
  5370       19.055
  5390       18.880
  5410       19.770
  5430       18.365
  5450       18.707
  5470       18.365
  5490       18.197
  5510       18.365
  5530       18.707
  5550       18.707
  5570       18.880
  5590       19.231
  5610       19.231
  5630       18.365
  5650       18.535
  5670       18.197
  5690       18.197
  5700       18.197
  5740       18.030
  5780       17.865
  5820       17.865
  5860       16.904
  5900       17.378
  5940       17.061
  5980       16.749
  6020       16.596
  6060       16.444
  6100       16.293
  6140       16.144
  6180       15.849
  6220       16.144
  6260       15.704
  6300       15.276
  6340       15.136
  6380       14.997
  6420       14.997
  6460       14.322
  6500       13.062
  6540       10.375
  6580       10.093
  6620       13.062
  6660       13.932
  6700       11.912
  7060       12.823
  7100       12.823
  7140       13.305
  7180       12.823
  7220       13.062
  7320       12.023
  7480       11.695
  7640       10.666
  7800       11.066
  7960       10.965
  8120       10.375
  8280       10.568
  8440       10.280
  8600        9.290
  8760        9.908
  8920        8.790
  9080        8.872
  9240        8.318
  9400        7.727
  9560        7.798
  9720        8.091
  9880        8.630
 10040        8.166
 10200        8.395
