*
*                   V M A 2
*
*   Table file for flux standard VMA2 based on data from
*   Oke, J.B., 1974. Astrophys. J. Supp. Ser. 27, 21.
*   Adapted from SPICA .OKE file of the same or similar name.
*
*   These data are directly measured fluxes and should be used according
*   This file is designed for use with the Figaro routine GSPIKE.
*
SET .Z.UNITS = "mjy"
SET .Z.LABEL = "Flux"
SET .TABLE.BANDWIDTH =  10
SET .TABLE.LAMBDA_DOUBLE = 11000
*
  3260        8.318
  3270        8.872
  3280        8.710
  3290        9.120
  3300        9.036
  3310       10.280
  3320        9.462
  3330       10.000
  3340       11.169
  3350       11.169
  3360       11.482
  3370       11.169
  3380       12.134
  3390       11.482
  3400       11.376
  3410       11.912
  3420       11.376
  3430       12.023
  3440       12.134
  3450       12.706
  3460       13.183
  3470       13.677
  3480       14.191
  3490       13.804
  3500       14.322
  3510       14.322
  3520       14.997
  3530       15.136
  3540       15.560
  3550       15.560
  3560       15.136
  3570       14.454
  3580       14.997
  3590       15.276
  3600       15.849
  3610       15.996
  3620       16.444
  3630       16.904
  3640       16.444
  3650       16.904
  3660       15.849
  3670       16.293
  3680       15.276
  3690       14.997
  3700       14.060
  3710       13.804
  3720       12.706
  3730       11.695
  3740       12.474
  3750       13.062
  3760       13.804
  3770       14.588
  3780       14.454
  3790       14.322
  3800       13.428
  3810       13.183
  3820       12.023
  3830       12.474
  3840       12.474
  3850       12.589
  3860       12.942
  3870       13.062
  3880       13.305
  3890       13.677
  3900       14.060
  3910       13.677
  3920       12.134
  3930       10.375
  3940       10.568
  3950       12.359
  3960       12.706
  3970       12.023
  3980       14.060
  3990       16.904
  4000       18.030
  4010       19.055
  4020       19.770
  4030       21.086
  4040       21.878
  4050       21.677
  4060       22.699
  4070       23.121
  4080       24.210
  4090       25.119
  4100       25.586
  4110       26.062
  4120       26.062
  4130       26.546
  4140       26.303
  4150       27.040
  4160       26.062
  4170       26.792
  4180       26.546
  4190       27.542
  4200       27.040
  4210       26.546
  4220       26.546
  4230       26.546
  4240       27.040
  4250       27.040
  4260       28.054
  4270       28.314
  4280       27.542
  4290       28.576
  4300       29.648
  4310       30.761
  4320       31.046
  4330       30.761
  4340       30.479
  4350       30.761
  4360       29.923
  4370       30.200
  4380       30.200
  4390       29.923
  4400       30.479
  4410       30.761
  4420       30.761
  4430       31.046
  4440       31.333
  4450       31.333
  4460       32.211
  4470       33.113
  4480       33.113
  4490       33.113
  4500       33.729
  4510       34.356
  4530       33.419
  4540       33.729
  4550       33.729
  4560       33.729
  4570       34.356
  4580       34.356
  4590       34.994
  4600       34.356
  4610       34.994
  4620       34.356
  4630       35.318
  4640       35.645
  4650       35.645
  4660       35.975
  4670       35.975
  4680       34.674
  4690       35.645
  4700       35.975
  4710       36.308
  4720       36.308
  4730       36.308
  4740       36.983
  4750       36.983
  4760       36.308
  4770       36.983
  4780       37.325
  4790       38.019
  4800       38.726
  4810       38.726
  4820       38.726
  4830       38.726
  4840       39.446
  4850       38.019
  4860       38.371
  4870       38.371
  4880       38.371
  4890       39.084
  4900       38.726
  4910       38.726
  4920       37.670
  4930       38.371
  4940       37.670
  4950       39.084
  4960       38.726
  4970       38.371
  4980       38.019
  4990       38.019
  5000       38.019
  5010       38.371
  5020       37.670
  5030       37.325
  5040       37.325
  5050       37.325
  5060       37.670
  5070       38.019
  5080       37.670
  5090       38.019
  5100       38.019
  5110       38.726
  5120       39.446
  5130       38.371
  5140       38.726
  5150       39.084
  5160       39.084
  5170       38.371
  5180       38.371
  5190       39.084
  5200       38.726
  5210       39.084
  5220       39.084
  5230       39.446
  5240       39.084
  5250       39.446
  5260       39.084
  5270       40.179
  5280       39.811
  5290       40.179
  5300       39.811
  5310       39.811
  5320       39.446
  5330       38.371
  5340       39.084
  5350       39.811
  5360       39.084
  5370       39.811
  5380       40.179
  5390       39.811
  5400       39.446
