*
*                   W 1 3 4 6
*
*   Table file for flux standard W1346 based on data from
*   Oke, J.B., 1974. Astrophys. J. Supp. Ser. 27, 21.
*   Adapted from SPICA .OKE file of the same or similar name.
*
*   These data are directly measured fluxes and should be used according
*   This file is designed for use with the Figaro routine GSPIKE.
*
SET .Z.UNITS = "mjy"
SET .Z.LABEL = "Flux"
SET .TABLE.BANDWIDTH =  20
SET .TABLE.LAMBDA_DOUBLE =  5700
*
  3210      124.738
  3230      128.233
  3250      129.420
  3270      129.420
  3290      121.339
  3310      121.339
  3330      121.339
  3350      121.339
  3370      120.226
  3390      122.462
  3410      122.462
  3430      120.226
  3450      119.124
  3470      118.032
  3490      115.878
  3510      116.950
  3530      115.878
  3550      116.950
  3570      119.124
  3590      120.226
  3610      112.720
  3630      112.720
  3650      108.643
  3670      106.660
  3690      106.660
  3710      107.647
  3730      108.643
  3750      104.713
  3770      100.000
  3790       98.175
  3810       97.275
  3830       98.175
  3850       99.083
  3870      100.925
  3890       96.383
  3910      101.859
  3930      108.643
  3950      103.753
  3970       93.756
  3990      105.682
  4010      118.032
  4030      129.420
  4050      129.420
  4070      115.878
  4090       95.499
  4110       91.201
  4130      105.682
  4150      116.950
  4170      122.462
  4190      129.420
  4210      133.045
  4230      129.420
  4250      122.462
  4270      120.226
  4290      111.686
  4310      101.859
  4330       84.723
  4350       83.946
  4370      100.000
  4390      107.647
  4410      114.815
  4430      118.032
  4450      122.462
  4470      123.595
  4490      123.595
  4510      124.738
  4530      125.893
  4550      124.738
  4570      121.339
  4590      120.226
  4610      118.032
  4630      116.950
  4650      116.950
  4670      116.950
  4690      116.950
  4710      114.815
  4730      114.815
  4750      112.720
  4770      111.686
  4790      108.643
  4810      102.802
  4830       92.897
  4850       78.705
  4870       75.858
  4890       87.096
  4910       95.499
  4930       98.175
  4950      100.000
  4970      101.859
  4990      102.802
  5010      103.753
  5030      100.925
  5050      100.000
  5070      100.925
  5090      102.802
  5110      102.802
  5130      103.753
  5150      102.802
  5170      103.753
  5190      100.000
  5210       99.083
  5230       98.175
  5250       98.175
  5270       97.275
  5290       96.383
  5310       96.383
  5330       96.383
  5350       94.624
  5370       92.897
  5390       92.897
  5410       94.624
  5430       92.897
  5450       91.201
  5470       91.201
  5490       92.045
  5510       90.365
  5530       88.716
  5550       87.902
  5570       87.902
  5590       87.902
  5610       87.902
  5630       87.096
  5650       87.096
  5670       86.298
  5690       84.723
  5700       86.298
  5740       84.723
  5780       83.176
  5820       83.946
  5860       83.176
  5900       80.910
  5940       79.433
  5980       77.983
  6020       77.983
  6060       75.858
  6100       77.268
  6140       75.858
  6180       74.473
  6220       73.790
  6260       72.444
  6300       71.779
  6340       70.469
  6380       70.469
  6420       68.549
  6460       67.920
  6500       64.863
  6540       57.544
  6580       57.016
  6620       61.376
  6660       61.376
  6700       63.096
  6740       64.863
  6780       65.464
  6820       64.863
  6860       63.096
  6900       60.813
  6940       61.944
  6980       60.256
  7020       59.156
  7060       59.704
  7100       60.813
  7140       59.704
  7180       61.944
  7220       59.156
  7260       58.614
  7300       59.156
  7340       56.494
  7380       55.976
  7420       54.954
  7460       54.954
  7500       56.494
  7540       53.951
  7580       53.456
  7620       57.544
  7660       55.976
  7700       51.050
  7740       50.582
  7780       51.523
  7820       52.481
  7860       51.523
  7900       52.481
  7940       52.000
  7980       49.204
  8020       49.659
  8060       48.306
  8100       45.709
  8160       48.753
  8240       48.753
  8320       46.132
  8400       47.863
  8480       45.290
  8560       45.290
  8640       46.132
  8720       46.132
  8800       41.305
  8880       42.073
  8960       42.462
  9040       44.055
  9120       42.855
  9200       40.179
  9280       39.084
  9360       43.251
  9440       38.371
  9520       37.670
  9600       38.371
  9680       40.551
  9760       40.551
  9840       37.325
  9920       36.308
 10000       36.308
 10080       36.308
 10160       38.726
 10240       35.975
 10320       38.726
 10400       40.179
 10480       36.983
 10560       34.994
 10640       33.729
