QueryResult

# Config entry for original catalog server:
serv_type: archive
long_name: HST Archive at CADC
short_name: hst@cadc
url: http://cadcwww.dao.nrc.ca/cadcbin/hst-server?ra=%ra&dec=%dec&radius=%r2&nout=%n
symbol: ra plus 2
# End config entry

TARGNAME	RA	DEC	INTRUMENT	EXPOSURE TIME	RELEASE DATE	DATASET	DISTANCE	MORE	PREVIEW
--------	--	---	---------	-------------	------------	-------	--------	----	-------
NGC-1275	03:19:47.79	+41:31:12.85	WFPC2	200	Nov 16 1996  8:29:07:000PM	U2PF0401T	+0 0 32.80	M=http://cadcwww.dao.nrc.ca/cadcbin/wdb/hst/science/query/U2PF0401T	P=http://cadcwww.dao.nrc.ca/cadcbin/preview_cadc/hst/U2PF0401T/skycat/500983757/NGC-1275/200/49.94911481285/41.52023580189
NGC-1275	03:19:47.79	+41:31:12.85	WFPC2	900	Nov 18 1996 12:54:42:000AM	U2PF0402T	+0 0 32.80	M=http://cadcwww.dao.nrc.ca/cadcbin/wdb/hst/science/query/U2PF0402T	P=http://cadcwww.dao.nrc.ca/cadcbin/preview_cadc/hst/U2PF0402T/skycat/500984117/NGC-1275/900/49.94911481285/41.52023580189
NGC-1275	03:19:47.79	+41:31:12.85	WFPC2	1000	Nov 18 1996  1:00:27:000AM	U2PF0403T	+0 0 32.80	M=http://cadcwww.dao.nrc.ca/cadcbin/wdb/hst/science/query/U2PF0403T	P=http://cadcwww.dao.nrc.ca/cadcbin/preview_cadc/hst/U2PF0403T/skycat/500985197/NGC-1275/1000/49.94911481285/41.52023580189
NGC-1275	03:19:47.79	+41:31:12.85	WFPC2	1300	Nov 18 1996  1:10:02:000AM	U2PF0404T	+0 0 32.80	M=http://cadcwww.dao.nrc.ca/cadcbin/wdb/hst/science/query/U2PF0404T	P=http://cadcwww.dao.nrc.ca/cadcbin/preview_cadc/hst/U2PF0404T/skycat/500988977/NGC-1275/1300/49.94911481285/41.52023580189
NGC-1275	03:19:47.79	+41:31:12.85	WFPC2	1300	Nov 18 1996  1:15:43:000AM	U2PF0405T	+0 0 32.80	M=http://cadcwww.dao.nrc.ca/cadcbin/wdb/hst/science/query/U2PF0405T	P=http://cadcwww.dao.nrc.ca/cadcbin/preview_cadc/hst/U2PF0405T/skycat/500990417/NGC-1275/1300/49.94911481285/41.52023580189
NGC-1275	03:19:47.79	+41:31:12.85	WFPC2	200	Nov 18 1996  1:22:31:000AM	U2PF0406T	+0 0 32.80	M=http://cadcwww.dao.nrc.ca/cadcbin/wdb/hst/science/query/U2PF0406T	P=http://cadcwww.dao.nrc.ca/cadcbin/preview_cadc/hst/U2PF0406T/skycat/500994797/NGC-1275/200/49.94911481285/41.52023580189
NGC-1275	03:19:47.79	+41:31:12.85	WFPC2	1000	Nov 18 1996  1:27:57:000AM	U2PF0407T	+0 0 32.80	M=http://cadcwww.dao.nrc.ca/cadcbin/wdb/hst/science/query/U2PF0407T	P=http://cadcwww.dao.nrc.ca/cadcbin/preview_cadc/hst/U2PF0407T/skycat/500995157/NGC-1275/1000/49.94911481285/41.52023580189
NGC-1275	03:19:47.79	+41:31:12.85	WFPC2	1300	Nov 18 1996  1:33:12:000AM	U2PF0408T	+0 0 32.80	M=http://cadcwww.dao.nrc.ca/cadcbin/wdb/hst/science/query/U2PF0408T	P=http://cadcwww.dao.nrc.ca/cadcbin/preview_cadc/hst/U2PF0408T/skycat/500996297/NGC-1275/1300/49.94911481285/41.52023580189
NGC-1275	03:19:47.79	+41:31:12.85	WFPC2	1300	Nov 18 1996  1:38:23:000AM	U2PF0409T	+0 0 32.80	M=http://cadcwww.dao.nrc.ca/cadcbin/wdb/hst/science/query/U2PF0409T	P=http://cadcwww.dao.nrc.ca/cadcbin/preview_cadc/hst/U2PF0409T/skycat/501000557/NGC-1275/1300/49.94911481285/41.52023580189
NGC-1275	03:19:47.79	+41:31:12.85	WFPC2	1300	Nov 18 1996  1:43:34:000AM	U2PF040AT	+0 0 32.80	M=http://cadcwww.dao.nrc.ca/cadcbin/wdb/hst/science/query/U2PF040AT	P=http://cadcwww.dao.nrc.ca/cadcbin/preview_cadc/hst/U2PF040AT/skycat/501001997/NGC-1275/1300/49.94911481285/41.52023580189
UGC2669	03:19:48.07	+41:30:44.40	FOC	596.75	Mar 20 1994  3:21:15:000PM	X1AR1701T	+0 0 4.40	M=http://cadcwww.dao.nrc.ca/cadcbin/wdb/hst/science/query/X1AR1701T	P=http://cadcwww.dao.nrc.ca/cadcbin/preview_cadc/hst/X1AR1701T/skycat/417044552/UGC2669/596.75/49.9502916666667/41.5123330555556
NGC1275	03:19:48.09	+41:30:38.14	WFPC	1000	Jul 27 1993  9:05:57:000PM	W10Y0101T	+0 0 1.90	M=http://cadcwww.dao.nrc.ca/cadcbin/wdb/hst/science/query/W10Y0101T	P=http://cadcwww.dao.nrc.ca/cadcbin/preview_cadc/hst/W10Y0101T/skycat/396722236/NGC1275/1000/49.9503755555556/41.5105930555556
NGC1275	03:19:48.09	+41:30:38.14	WFPC	1000	Jul 27 1993  9:18:37:000PM	W10Y0102T	+0 0 1.90	M=http://cadcwww.dao.nrc.ca/cadcbin/wdb/hst/science/query/W10Y0102T	P=http://cadcwww.dao.nrc.ca/cadcbin/preview_cadc/hst/W10Y0102T/skycat/396723376/NGC1275/1000/49.9503755555556/41.5105930555556
NGC1275	03:19:48.09	+41:30:38.14	WFPC	1000	Jul 27 1993  9:36:16:000PM	W10Y0103T	+0 0 1.90	M=http://cadcwww.dao.nrc.ca/cadcbin/wdb/hst/science/query/W10Y0103T	P=http://cadcwww.dao.nrc.ca/cadcbin/preview_cadc/hst/W10Y0103T/skycat/396727996/NGC1275/1000/49.9503755555556/41.5105930555556
NGC1275	03:19:48.09	+41:30:38.14	WFPC	1000	Jul 27 1993  9:46:17:000PM	W10Y0104T	+0 0 1.90	M=http://cadcwww.dao.nrc.ca/cadcbin/wdb/hst/science/query/W10Y0104T	P=http://cadcwww.dao.nrc.ca/cadcbin/preview_cadc/hst/W10Y0104T/skycat/396729136/NGC1275/1000/49.9503755555556/41.5105930555556
NGC1275	03:19:48.09	+41:30:38.14	WFPC	1000	Jul 27 1993 10:04:28:000PM	W10Y0105T	+0 0 1.90	M=http://cadcwww.dao.nrc.ca/cadcbin/wdb/hst/science/query/W10Y0105T	P=http://cadcwww.dao.nrc.ca/cadcbin/preview_cadc/hst/W10Y0105T/skycat/396733816/NGC1275/1000/49.9503755555556/41.5105930555556
NGC1275	03:19:48.09	+41:30:38.14	WFPC	1000	Jul 27 1993 11:25:33:000PM	W10Y0106T	+0 0 1.90	M=http://cadcwww.dao.nrc.ca/cadcbin/wdb/hst/science/query/W10Y0106T	P=http://cadcwww.dao.nrc.ca/cadcbin/preview_cadc/hst/W10Y0106T/skycat/396734956/NGC1275/1000/49.9503755555556/41.5105930555556
NGC1275	03:19:48.09	+41:30:38.14	WFPC	1000	Jul 29 1993  1:28:28:000PM	W10Y0201T	+0 0 1.90	M=http://cadcwww.dao.nrc.ca/cadcbin/wdb/hst/science/query/W10Y0201T	P=http://cadcwww.dao.nrc.ca/cadcbin/preview_cadc/hst/W10Y0201T/skycat/396838396/NGC1275/1000/49.9503755555556/41.5105930555556
NGC1275	03:19:48.09	+41:30:38.14	WFPC	1000	Jul 29 1993  1:45:01:000PM	W10Y0202T	+0 0 1.90	M=http://cadcwww.dao.nrc.ca/cadcbin/wdb/hst/science/query/W10Y0202T	P=http://cadcwww.dao.nrc.ca/cadcbin/preview_cadc/hst/W10Y0202T/skycat/396839536/NGC1275/1000/49.9503755555556/41.5105930555556
NGC1275	03:19:48.09	+41:30:38.14	WFPC	1000	Jul 29 1993  2:15:25:000PM	W10Y0203T	+0 0 1.90	M=http://cadcwww.dao.nrc.ca/cadcbin/wdb/hst/science/query/W10Y0203T	P=http://cadcwww.dao.nrc.ca/cadcbin/preview_cadc/hst/W10Y0203T/skycat/396843916/NGC1275/1000/49.9503755555556/41.5105930555556
NGC1275	03:19:48.09	+41:30:38.14	WFPC	1000	Jul 29 1993  2:33:42:000PM	W10Y0204T	+0 0 1.90	M=http://cadcwww.dao.nrc.ca/cadcbin/wdb/hst/science/query/W10Y0204T	P=http://cadcwww.dao.nrc.ca/cadcbin/preview_cadc/hst/W10Y0204T/skycat/396845056/NGC1275/1000/49.9503755555556/41.5105930555556
NGC1275	03:19:48.09	+41:30:38.14	WFPC	1000	Jul 29 1993  2:52:40:000PM	W10Y0205T	+0 0 1.90	M=http://cadcwww.dao.nrc.ca/cadcbin/wdb/hst/science/query/W10Y0205T	P=http://cadcwww.dao.nrc.ca/cadcbin/preview_cadc/hst/W10Y0205T/skycat/396849796/NGC1275/1000/49.9503755555556/41.5105930555556
NGC1275	03:19:48.09	+41:30:38.14	WFPC	1000	Jul 29 1993  3:10:39:000PM	W10Y0206T	+0 0 1.90	M=http://cadcwww.dao.nrc.ca/cadcbin/wdb/hst/science/query/W10Y0206T	P=http://cadcwww.dao.nrc.ca/cadcbin/preview_cadc/hst/W10Y0206T/skycat/396850936/NGC1275/1000/49.9503755555556/41.5105930555556
NGC1275	03:19:48.09	+41:30:38.14	WFPC	1000	Jul 29 1993 12:25:48:000AM	W10Y0301T	+0 0 1.90	M=http://cadcwww.dao.nrc.ca/cadcbin/wdb/hst/science/query/W10Y0301T	P=http://cadcwww.dao.nrc.ca/cadcbin/preview_cadc/hst/W10Y0301T/skycat/396820576/NGC1275/1000/49.9503755555556/41.5105930555556
NGC1275	03:19:48.09	+41:30:38.14	WFPC	1000	Jul 29 1993 12:37:04:000AM	W10Y0302T	+0 0 1.90	M=http://cadcwww.dao.nrc.ca/cadcbin/wdb/hst/science/query/W10Y0302T	P=http://cadcwww.dao.nrc.ca/cadcbin/preview_cadc/hst/W10Y0302T/skycat/396821716/NGC1275/1000/49.9503755555556/41.5105930555556
NGC1275	03:19:48.09	+41:30:38.14	WFPC	1000	Jul 29 1993 12:54:05:000AM	W10Y0303T	+0 0 1.90	M=http://cadcwww.dao.nrc.ca/cadcbin/wdb/hst/science/query/W10Y0303T	P=http://cadcwww.dao.nrc.ca/cadcbin/preview_cadc/hst/W10Y0303T/skycat/396826396/NGC1275/1000/49.9503755555556/41.5105930555556
NGC1275	03:19:48.09	+41:30:38.14	WFPC	1000	Jul 29 1993  1:04:29:000AM	W10Y0304T	+0 0 1.90	M=http://cadcwww.dao.nrc.ca/cadcbin/wdb/hst/science/query/W10Y0304T	P=http://cadcwww.dao.nrc.ca/cadcbin/preview_cadc/hst/W10Y0304T/skycat/396827536/NGC1275/1000/49.9503755555556/41.5105930555556
NGC1275	03:19:48.09	+41:30:38.14	WFPC	1000	Jul 29 1993  1:21:04:000AM	W10Y0305T	+0 0 1.90	M=http://cadcwww.dao.nrc.ca/cadcbin/wdb/hst/science/query/W10Y0305T	P=http://cadcwww.dao.nrc.ca/cadcbin/preview_cadc/hst/W10Y0305T/skycat/396832156/NGC1275/1000/49.9503755555556/41.5105930555556
