sug 1986sug..book.....L
sc1 1995StarC...1.....M
sc2 1997StarC...2.....D
sc3 2003StarC...3.....C
sc4 2006StarC...4.....C
sc5 2001StarC...5.....D
sc6 2001StarC...6.....P
sc7 1998StarC...7.....C
sc8 1997StarC...8.....M
sc9 1997StarC...9.....L
sc10 1997StarC..10.....S
sc11 2001StarC..11.....S
sc12 1997StarC..12.....L
sc13 2003StarC..13.....G
sc14 1999StarC..14.....D
sc15 2000StarC..15.....A
sc16 2008StarC..16.....A
sc17 2001StarC..17.....D
sc19 2010StarC..19.....C
sc21 2014StarC..21.....T
sg1 1988StarG...1.....B
sg3 1993StarG...3.....R
sg4 1992StarG...4.....L
sg5 1998StarG...5.....B
sg6 1994StarG...6.....W
sg7 1996StarG...7.....T
sg8 1997StarG...8.....D
sg9 1996StarG...9.....C
sg10 1998StarG..10.....P
sg12 1999StarG..12.....M
sgp1 1989StaGP...1.....R
sgp2 1990StaGP...2.....W
sgp3 1990StaGP...3.....A
sgp4 1994StaGP...4.....C
sgp5 1991StaGP...5.....A
sgp6 1981StaGP...6......
sgp7 1991StaGP...7.....W
sgp8 1992StaGP...8.....B
sgp9 1991StaGP...9.....L
sgp10 1991StaGP..10.....J
sgp11 1991StaGP..11.....C
sgp12 1992StaGP..12.....T
sgp13 1987StaGP..13.....D
sgp14 1988StaGP..14.....B
sgp15 1981StaGP..15......
sgp16 1992StaGP..16.....W
sgp17 1981StaGP..17......
sgp18 1981StaGP..18......
sgp19 1987StaGP..19.....L
sgp20 1990StaGP..20.....L
sgp21 2000StaGP..21.....L
sgp25 1997StaGP..25.....S
sgp28 1997StaGP..28.....L
sgp31 1996StaGP..31.....L
sgp33 1986StaGP..33.....W
sgp34 1986StaGP..34.....L
sgp35 1986StaGP..35.....W
sgp37 1990StaGP..37.....L
sgp38 2009StaGP..38.....C
sgp39 1987StaGP..39.....S
sgp40 1990StaGP..40.....S
sgp41 1994StaGP..41.....W
sgp42 1995StaGP..42.....W
sgp43 1994StaGP..43.....W
sgp44 1995StaGP..44.....W
sgp45 1995StaGP..45.....M
sgp46 1997StaGP..46.....W
sgp47 1997StaGP..47.....C
sgp48 1996StaGP..48.....W
sgp49 1996StaGP..49.....S
sgp50 1997StaGP..50.....L
sgp51 1997StaGP..51.....B
sgp52 1997StaGP..52.....B
ssn1 1991StaSN...1.....A
ssn2 1989StaSN...2.....B
ssn3 1989StaSN...3.....L
ssn4 2008StaSN...4.....R
ssn5 1990StaSN...5.....D
ssn6 1990StaSN...6.....C
ssn7 1991StaSN...7.....C
ssn8 1991StaSN...8.....W
ssn9 1995StaSN...9.....B
ssn10 1992StaSN..10.....B
ssn12 1989StaSN..12.....T
ssn13 1992StaSN..13.....R
ssn14 1992StaSN..14.....D
ssn15 1992StaSN..15.....B
ssn17 1982StaSN..17......
