#  INDEX    X            Y            INTENSITY    ELLIPT    ANGLE
     1   0.51722733   0.93302533          27930    0.1570     88.2
     2   0.82454400   0.34929333         499036    0.0650     82.6
     3   0.58885533   0.14906800         202411    0.0310    124.6
     4   0.49700600   0.08332200           4021    0.3270     90.2
     5   0.82876200   0.67651467         213099    0.0480     28.2
     6   0.51103400   0.06812267          26012    0.1970    177.2
     7   0.25979267   0.97872667          32019    0.2040    151.0
     8   0.19738733   0.57382133         302910    0.0520     19.4
     9   0.03790867   0.86070467          15801    0.1090      7.4
    10   0.71120400   0.26415267           5948    0.2720    173.7
    11   0.92425133   0.38921467          17289    0.3720     24.4
    12   0.04232800   0.11929600           4076    0.3320     90.2
    13   0.39154333   0.30655933           4124    0.1070    165.6
    14   0.38508867   0.61000467         206151    0.2640      6.2
    15   0.31329333   0.07526867          66335    0.0450     14.7
    16   0.99833200   0.28733333           4018    0.3260     90.3
    17   0.90089333   0.49835133          78445    0.1900     91.3
    18   0.33282533   0.22138533          17398    0.4930    173.2
    19   0.37461600   0.93300600           6249    0.4710    106.1
    20   0.28802533   0.73730067           5703    0.4910     89.5
    21   0.98903000   0.22997333          56784    0.1230    176.9
    22   0.16426467   0.30512400         217332    0.1230     76.6
    23   0.56930133   0.77083000          72591    0.1380    175.6
    24   0.38640133   0.80775067           5838    0.1980     44.6
    25   0.82813067   0.71985267         138942    0.1170     52.2
    26   0.65142533   0.85703867           5576    0.0550     33.6
    27   0.47071800   0.45515000           4967    0.4680    172.2
    28   0.02831667   0.35076200         287365    0.1830    168.3
    29   0.55600667   0.09210267          28236    0.1350     12.3
    30   0.17233533   0.84599400           7775    0.2400    178.6
    31   0.69148867   0.97235067          18942    0.1810     19.5
    32   0.47567267   0.05117267          20960    0.3370     66.1
    33   0.09334933   0.85272333         305657    0.1590    107.1
    34   0.02120467   0.96233333           5442    0.5720     90.0
    35   0.38318267   0.71459667         297307    0.1680     58.9
    36   0.53323000   0.69047667          45730    0.0400    117.5
    37   0.57481133   0.35530200          72621    0.0640    126.7
    38   0.60621067   0.11219533         220611    0.1520    143.7
    39   0.78119800   0.48110933         174943    0.2700     25.4
    40   0.55453600   0.86100000          10185    0.6180     90.0
    41   0.43138533   0.65901867          79658    0.0500    166.3
    42   0.61908133   0.90175800          56051    0.0480     88.4
    43   0.20687200   0.32280667           5556    0.2460     63.1
    44   0.11265067   0.08872200          41350    0.1710     50.0
    45   0.24077467   0.46347133         166546    0.6480      3.8
    46   0.23266667   0.86187867          48756    0.1130     57.9
    47   0.35132133   0.48768067           3895    0.3280      0.0
    48   0.74444000   0.08533533          70157    0.3320     29.1
    49   0.17548333   0.24934400          26334    0.2320    175.7
    50   0.37265467   0.54588467         129721    0.5490     11.4
    51   0.64655600   0.53232600         221721    0.1750    172.5
    52   0.97380933   0.44515067           5711    0.5210     10.9
    53   0.67248200   0.09390333           9650    0.0810     53.9
    54   0.58912267   0.21384267          10779    0.6240     35.1
    55   0.05966267   0.16082467           8657    0.4690    179.9
    56   0.25273800   0.23389533         157306    0.0130     97.0
    57   0.43496000   0.83364867           6985    0.0210     75.3
    58   0.21642933   0.76775533           6042    0.1670     43.6
    59   0.86043667   0.24805867          11312    0.4750      0.8
    60   0.89371133   0.13168800          13929    0.3590     88.8
    61   0.00924200   0.98311400         320754    0.2030    157.9
    62   0.59586400   0.15978533          99034    0.5310     31.6
    63   0.62172067   0.17474200         229011    0.0840     12.5
    64   0.26597867   0.78839867          34677    0.5130     53.2
    65   0.40807733   0.78180067          49379    0.2700    121.9
    66   0.55694733   0.31107133         346813    0.0270     43.1
    67   0.92597333   0.94982600         138642    0.1530     13.2
    68   0.25975800   0.56379933         223355    0.4360     86.1
    69   0.09251867   0.41428867         115575    0.0610    156.8
    70   0.83947133   0.64859533           5426    0.3310    134.1
    71   0.16993067   0.98966933          15410    0.2630      4.3
    72   0.57413600   0.60984200           7903    0.3070      7.5
    73   0.78288533   0.90419667         106291    0.1410     77.7
    74   0.30095000   0.80589267          10872    0.1800    143.9
    75   0.50501667   0.33931467          31607    0.2240     22.6
    76   0.08160000   0.05740067           5845    0.6620     84.0
    77   0.92764800   0.85789733          29250    0.0100    179.8
    78   0.25268267   0.65025667         216924    0.0770      4.4
    79   0.27687667   0.28906000         196139    0.4120     45.2
    80   0.86574600   0.20149267         314429    0.3080    166.1
    81   0.28763733   0.92368133         191051    0.3550     91.9
    82   0.83042200   0.29055533          34899    0.3810     87.6
    83   0.33895400   0.78531000         104615    0.0620     80.2
    84   0.01094733   0.64036667          53956    0.2030    179.8
    85   0.63794067   0.01800333         155334    0.4580    124.6
    86   0.01922867   0.85943467         130773    0.3190     56.5
    87   0.00153200   0.94448867           8462    0.4420    169.6
    88   0.39985400   0.68305933         100694    0.2120     40.9
    89   0.53003267   0.62588600          29355    0.2190      9.7
    90   0.89390400   0.39507667          46649    0.2210    129.4
    91   0.39523800   0.93643533          52517    0.1120     42.6
    92   0.42993333   0.89237933          60107    0.5450     37.3
    93   0.05117067   0.96906667         110947    0.2730     30.2
    94   0.16211200   0.71152467           7339    0.4030     11.0
    95   0.13532600   0.58251733         147708    0.2120      0.9
    96   0.13326467   0.64661200          10892    0.1060     43.1
    97   0.75902400   0.71532067          33601    0.2960     92.3
    98   0.03805133   0.71342533         133672    0.0530    144.0
    99   0.83337600   0.21775267         338406    0.0810    139.8
