Name	 RA (1950)	    Dec		     K		             J-H	                      H-K
 
FS1       00 31 22.78  -12 24 30.3    12.968 (0.005) [11.]      0.387 (0.003) [11.]      0.057 (0.004) [10.]
FS2       00 52 36.01  +00 26 58.4    10.472 (0.005) [17.]      0.207 (0.004) [16.]      0.036 (0.002) [17.]
FS3       01 01 46.57  +03 57 31.4    12.826 (0.004) [08.]     -0.113 (0.003) [08.]     -0.089 (0.005) [08.]
FS4       01 52 03.62  +00 28 18.3    10.284 (0.002) [12.]      0.239 (0.004) [12.]      0.032 (0.002) [12.]
FS5       01 52 04.73  -07 00 42.7    12.339 (0.005) [09.]      0.006 (0.003) [09.]     -0.005 (0.002) [09.]
FS6       02 27 39.24  +05 02 33.2    13.382 (0.005) [14.]     -0.059 (0.005) [15.]     -0.069 (0.005) [14.]
FS7       02 54 47.29  +00 06 37.4    10.945 (0.002) [19.]      0.127 (0.003) [20.]      0.032 (0.001) [19.]
FS10      03 46 17.48  -01 07 38.7    14.983 (0.011) [12.]     -0.104 (0.006) [11.]     -0.118 (0.010) [11.]
FS11      04 50 25.50  -00 19 35.9    11.254 (0.002) [33.]      0.066 (0.002) [32.]      0.023 (0.001) [33.]
FS12      05 49 34.93  +15 52 35.0    13.916 (0.006) [23.]     -0.115 (0.003) [23.]     -0.094 (0.005) [23.]
FS13      05 54 33.83  +00 00 53.2    10.140 (0.002) [29.]      0.313 (0.002) [30.]      0.049 (0.001) [28.]
FS14      07 21 41.21  -00 27 09.2    14.198 (0.008) [08.]     -0.065 (0.007) [08.]     -0.031 (0.010) [08.]
FS15      08 48 21.75  +11 55 03.1    12.349 (0.003) [28.]      0.337 (0.003) [26.]      0.054 (0.002) [28.]
FS16      08 48 30.87  +12 00 37.9    12.631 (0.005) [12.]      0.290 (0.003) [11.]      0.041 (0.002) [12.]
FS17      08 48 35.13  +12 03 27.3    12.276 (0.003) [15.]      0.325 (0.004) [15.]      0.056 (0.002) [15.]
FS18      08 51 02.21  -00 25 17.2    10.527 (0.002) [18.]      0.252 (0.003) [17.]      0.039 (0.002) [17.]
FS19      10 31 14.10  -11 26 08.2    13.784 (0.007) [10.]     -0.086 (0.006) [09.]     -0.119 (0.009) [10.]
FS20      11 05 27.53  -04 53 10.8    13.499 (0.013) [05.]     -0.038 (0.009) [05.]     -0.068 (0.011) [05.]
FS21      11 34 27.34  +30 04 34.9    13.147 (0.002) [11.]     -0.069 (0.004) [09.]     -0.089 (0.004) [11.]
FS23      13 39 25.30  +28 44 56.6    12.373 (0.005) [13.]      0.531 (0.005) [12.]      0.068 (0.003) [13.]
FS24      14 37 33.33  +00 14 35.7    10.755 (0.003) [11.]      0.150 (0.005) [10.]      0.027 (0.002) [11.]
FS27      16 38 54.05  +36 26 55.9    13.128 (0.005) [16.]      0.306 (0.005) [16.]      0.048 (0.004) [16.]
FS28      17 41 32.50  -00 23 43.4    10.669 (0.017) [09.]      0.104 (0.014) [09.]      0.043 (0.008) [09.]
FS29      21 49 53.00  +02 09 12.7    13.311 (0.003) [20.]     -0.064 (0.003) [20.]     -0.070 (0.003) [20.]
FS30      22 39 11.38  +00 56 54.0    12.022 (0.003) [18.]     -0.042 (0.002) [16.]     -0.031 (0.001) [17.]
FS31      23 09 50.49  +10 30 44.6    14.037 (0.007) [11.]     -0.130 (0.005) [11.]     -0.095 (0.007) [11.]
FS32      23 13 38.15  -02 06 57.6    13.676 (0.007) [12.]     -0.107 (0.003) [12.]     -0.086 (0.005) [12.]
FS33      12 54 35.10  +22 18 05.3    14.260 (0.007) [06.]     -0.112 (0.002) [05.]     -0.103 (0.008) [05.]
FS34      20 39 42.23  -20 15 22.9    13.000 (0.004) [12.]     -0.077 (0.003) [12.]     -0.074 (0.005) [12.]
FS35      18 24 44.42  +04 01 16.0    11.748 (0.005) [29.]      0.369 (0.003) [27.]      0.084 (0.002) [28.]
fs2-29    00 11 07.681 +30 21 19.30   10.384 (0.006) [09.]      0.139 (0.004) [09.]      0.032 (0.003) [09.]
p525-e    00 21 53.700 +07 32 25.00   11.218 (0.005) [06.]      0.318 (0.005) [07.]      0.052 (0.002) [06.]
p241-g    00 33 47.900 +37 26 27.00   11.721 (0.008) [08.]      0.522 (0.005) [08.]      0.088 (0.005) [08.]
p194-r    01 02 09.600 +40 50 27.00   10.409 (0.005) [08.]      0.101 (0.004) [08.]      0.026 (0.002) [08.]
p527-f    01 16 31.700 +07 18 25.00   10.970 (0.004) [06.]      0.471 (0.008) [06.]      0.080 (0.001) [06.]
p152-f    01 46 39.100 +48 23 01.00   11.753 (0.007) [06.]      0.619 (0.005) [07.]      0.101 (0.005) [06.]
fs2-03    01 51 04.064 +45 35 54.47   10.231 (0.015) [03.]      0.213 (0.010) [03.]      0.050 (0.004) [03.]
fs2-04    02 57 45.768 +46 46 57.53    9.725 (0.007) [06.]      0.295 (0.006) [06.]      0.059 (0.003) [06.]
g-129     03 10 33.412 +18 38 29.48   10.812 (0.007) [07.]      0.464 (0.005) [07.]      0.161 (0.004) [07.]
p533-d    03 38 21.899 +06 46 40.00   11.329 (0.005) [07.]      0.308 (0.002) [07.]      0.078 (0.004) [07.]
fs2-05    03 37 59.199 +32 59 59.21   10.289 (0.006) [07.]      0.262 (0.006) [07.]      0.089 (0.002) [07.] 
s618-d    03 45 22.217 -15 22 25.80   10.899 (0.005) [06.]      0.264 (0.004) [06.]      0.047 (0.005) [06.]
p117-f    03 56 23.577 +53 02 11.20   12.439 (0.009) [07.]      0.370 (0.003) [07.]      0.110 (0.005) [07.]
Hy214     04 16 49.878 +16 38 12.00   13.461 (0.017) [06.]      0.604 (0.002) [06.]      0.329 (0.010) [06.]
b216-b5   04 20 13.960 +26 34 19.93   10.166 (0.006) [07.]      1.585 (0.009) [07.]      0.772 (0.004) [07.]
b216-b7   04 20 45.870 +26 33 12.87   10.949 (0.002) [07.]      1.270 (0.011) [07.]      0.511 (0.003) [07.]
b216-b9   04 20 52.345 +26 29 44.05   10.078 (0.004) [07.]      0.950 (0.008) [07.]      0.437 (0.002) [07.]
b216-b13  04 21 29.373 +26 26 46.29   10.446 (0.005) [06.]      0.723 (0.005) [06.]      0.266 (0.001) [06.]
fs2-51    04 27 53.956 +30 20 49.07    9.291 (0.007) [07.]      0.113 (0.008) [07.]      0.060 (0.007) [07.]
fs2-06    04 52 05.279 +30 17 51.07    9.502 (0.010) [07.]      0.232 (0.007) [07.]      0.083 (0.003) [07.]
fs2-52    04 52 45.373 +24 46 42.94    9.253 (0.009) [07.]      0.120 (0.012) [07.]      0.081 (0.012) [07.]
fs2-53    05 00 25.807 -01 50 54.76    9.865 (0.014) [07.]      0.039 (0.008) [07.]      0.025 (0.006) [07.]
l1641-n2  05 33 52.115 -06 22 27.00   11.003 (0.010) [07.]      0.750 (0.006) [07.]      0.384 (0.013) [07.]
l1641-n26 05 33 55.290 -06 24 41.20   10.876 (0.017) [06.]      1.799 (0.014) [06.]      1.029 (0.013) [06.]
lhs216    06 11 09.614 +15 10 53.31   10.620 (0.008) [07.]      0.503 (0.004) [07.]      0.199 (0.006) [07.]
s772-g    06 57 18.600 -04 50 20.00   11.315 (0.003) [07.]      0.561 (0.003) [07.]      0.108 (0.003) [07.]
p161-d    06 57 05.193 +48 33 39.09   11.338 (0.003) [07.]      0.271 (0.005) [07.]      0.046 (0.003) [07.]
fs2-09    08 04 42.500 +42 15 52.00    9.361 (0.009) [07.]      0.321 (0.005) [06.]      0.053 (0.004) [07.]
p486-r    08 48 27.800 +11 56 38.00   10.211 (0.004) [10.]     -0.012 (0.002) [10.]     -0.022 (0.004) [10.]
lhs254    08 51 45.160 -07 53 32.20   10.776 (0.004) [08.]      0.481 (0.006) [07.]      0.266 (0.005) [08.]
p259-c    09 00 14.700 +34 32 58.00   10.374 (0.005) [10.]      0.376 (0.002) [09.]      0.052 (0.003) [10.]
p487-f    09 16 36.522 +11 08 36.22   11.680 (0.005) [10.]      0.564 (0.003) [10.]      0.102 (0.005) [10.]
p212-c    10 03 27.200 +41 16 05.00   11.654 (0.004) [10.]      0.261 (0.004) [09.]      0.040 (0.003) [10.]
lhs2347   11 02 34.590 +07 23 01.00   12.072 (0.006) [06.]      0.616 (0.003) [05.]      0.309 (0.005) [06.]
lhs2397a  11 19 17.860 -12 56 40.40   10.709 (0.006) [08.]      0.724 (0.006) [08.]      0.420 (0.006) [08.]
p264-f    11 22 14.800 +35 01 08.00   12.247 (0.008) [06.]      0.595 (0.006) [06.]      0.094 (0.008) [06.]
p266-c    12 11 54.400 +35 52 36.00   11.314 (0.005) [05.]      0.259 (0.003) [06.]      0.032 (0.004) [05.]
s860-d    12 19 05.600 +00 09 25.00   11.835 (0.005) [05.]      0.290 (0.003) [06.]      0.037 (0.004) [05.]
p172-e    13 13 41.400 +46 22 26.00   11.879 (0.004) [04.]      0.363 (0.004) [04.]      0.060 (0.003) [04.]
lhs2924   14 26 35.950 +33 24 02.60   10.749 (0.004) [05.]      0.746 (0.005) [05.]      0.425 (0.003) [05.]
s867-v    14 38 24.000 -00 14 58.00   11.598 (0.005) [05.]      0.342 (0.003) [04.]      0.046 (0.002) [05.]
S868-G    14 56 58.400 +00 05 39.00   11.883 (0.005) [06.]      0.553 (0.004) [06.]      0.090 (0.004) [06.]
p565-c    16 24 15.300 +05 59 02.00   11.837 (0.009) [06.]      0.273 (0.006) [07.]      0.045 (0.003) [06.]
p275-a    16 26 15.700 +35 05 27.00   10.412 (0.006) [07.]      0.030 (0.006) [06.]      0.002 (0.002) [07.]
p137-f    16 32 46.300 +54 34 32.00   12.121 (0.018) [08.]      0.512 (0.006) [08.]      0.075 (0.016) [08.]
s587-t    17 10 26.400 -18 50 01.00   10.369 (0.006) [05.]      0.369 (0.004) [05.]      0.060 (0.005) [05.]
p389-d    17 46 53.900 +23 18 38.00   10.812 (0.006) [08.]      0.307 (0.006) [10.]      0.061 (0.003) [08.]
ser-ec51  18 27 18.733 +01 11 14.50   13.393 (0.011) [02.]      1.495 (0.005) [02.]      0.750 (0.006) [02.]
ser-ec68  18 27 21.400 +01 11 25.00   13.009 (0.011) [05.]      2.315 (0.023) [04.]      1.210 (0.010) [05.]
ser-ec84  18 27 24.500 +01 10 42.00   11.046 (0.001) [02.]      2.513 (0.017) [02.]      1.302 (0.010) [02.]
ser-ec160 18 27 33.433 +01 11 41.50   12.160 (0.006) [04.]      3.234 (0.049) [04.]      1.562 (0.009) [04.]
p280-u    18 52 19.300 +37 03 30.00   10.148 (0.009) [06.]      0.511 (0.005) [05.]      0.076 (0.007) [06.]
p230-a    19 00 20.400 +42 24 53.00    9.875 (0.010) [05.]      0.028 (0.004) [05.]      0.015 (0.003) [05.]
s810-b    19 38 45.600 -03 58 00.00    9.478 (0.004) [05.]      0.020 (0.008) [05.]      0.011 (0.005) [05.]
p338-c    19 58 38.538 +29 50 20.00   10.086 (0.009) [06.]      0.023 (0.008) [06.]     -0.003 (0.003) [06.]
fs2-22    20 34 35.700 +49 27 55.00    9.964 (0.006) [09.]      0.154 (0.007) [09.]      0.044 (0.003) [09.] 
p340-h    21 02 08.600 +30 18 21.00   11.876 (0.007) [08.]      0.274 (0.006) [08.]      0.061 (0.005) [08.]
p460-e    22 24 51.600 +19 01 40.00   11.057 (0.005) [09.]      0.527 (0.007) [09.]      0.062 (0.004) [09.]
s820-e    22 59 57.100 -04 15 05.00   10.891 (0.006) [07.]      0.580 (0.005) [07.]      0.105 (0.002) [07.]
