#
# DIAM = 40.0
# IREF = None
# PIXSIZE = 3.99999
# Total intensity value = 0.0158849427155 pW
#
# A=0.00262399907943 B=0.0421559823485 C=-0.0241014435006 D=-0.0340034440839 (-1.94825383492 degrees)
# Q RMS = 1.2653363836e-05 pW  U RMS = 8.95130095785e-06 pW
# Qn RMS = 0.000796563391046   Un RMS = 0.000563508545053 
#
# ut obs az el q dq u du i di pi ang p qfit ufit pifit pfit tau tran rej hst at hum bp wndspd wnddir frleg bkleg
20151007 26 117.074524272 63.8323609712 -0.000217655098161 0.776460826899 -0.00023162438031 0.918208554494 0.0162960510385 0.949172439694 0.000317842091784 -66.6095485388 0.0200090171854 -0.00020734269347 -0.000233854231615 0.000312536068606 0.0196749887113 0.064433347702 0.734955392115 0 22.9323611111 2.9 7.3 620.099975586 11.25 56.555617186 6.9645775 7.497955375
20151007 30 130.810143708 70.544168029 -0.000279541492309 0.886190816667 -0.000181079345764 0.815561942898 0.0168683056593 0.919849979232 0.000333066322802 -73.5329678387 0.0209674236015 -0.000234068019815 -0.000163988483759 0.00028579723705 0.017991707126 0.0672883505821 0.735614273782 1 23.5022222222 3.1 6.8 620.099975586 9.4 71.356752643 6.753522875 7.227343125
20151007 34 150.546261028 74.9263550033 -0.000237124093457 0.977944621919 -0.000120789869041 0.815809105864 0.0167685629896 1.07154169114 0.000266116568745 -76.5029630384 0.0167527559596 -0.000235579558303 -0.000116178980563 0.000262669533473 0.0165357557894 0.0673812241554 0.7406142273 0 11.9870833333 3.15 8.05 620.0 17.25 44.6931420526 6.60124575 7.050651875
20151007 50 237.550126466 67.0359039891 -0.000214907812491 0.762781752353 -0.000213653691961 0.807593346799 0.0166501811518 0.889053533255 0.000303040043489 -67.5838334842 0.0190771883108 -0.000223637828227 -0.000201588450836 0.000301084343207 0.0189540717017 0.0643846125603 0.740871034254 0 1.76972222222 3.5 7.15 619.5 14.65 219.55801746 6.23863725 6.71601275
20151007 53 246.112522923 61.4340729388 -0.000202915153574 0.800098371786 -0.000242986194521 1.00636643327 0.0167181711558 0.903161767311 0.000316570450734 -64.9324467455 0.0199289639506 -0.00019125557776 -0.000255985692228 0.000319542439513 0.0201160586624 0.0635363478661 0.733451734745 0 2.21833333333 3.75 8.5 619.350006104 13.25 202.960542267 6.20336475 6.68046525
20151007 57 253.202937485 54.1918816399 -0.000132516636273 0.73443533742 -0.00031355888581 0.992017943286 0.0167452367009 0.844295181753 0.000340411271493 -56.4549752669 0.0214298079376 -0.000126085006941 -0.000307728791896 0.000332557421113 0.0209353868673 0.0621314735413 0.720546882846 0 2.76402777778 3.7 9.85 619.299987793 20.95 187.348956217 6.2031745 6.62144825
20151007 60 257.467829609 48.1031959308 -5.10345275511e-05 0.798573187079 -0.000299352815661 1.01509459288 0.0161788518815 0.868838366306 0.000303671913825 -49.8374662772 0.0191169662532 -5.859499445e-05 -0.000328854027396 0.000334033448488 0.0210283067727 0.0603344745636 0.707527791066 1 3.20888888889 3.45 10.25 619.200012207 20.0 187.120155141 6.2147395 6.63334825
20151007 64 261.520904954 40.7402062652 4.11364585404e-05 0.876082081774 -0.000319762153003 0.915084223649 0.0157822773365 0.863524066053 0.000322397336704 -41.3346654501 0.0202957821428 2.61361062119e-05 -0.000323212535496 0.000324267542547 0.0204135166463 0.0614269824028 0.668779088155 0 3.73805555556 4.35 9.35 619.25 15.55 176.031682492 6.2263045 6.60970925
20151007 67 264.422559534 34.4239560072 9.23627840868e-05 1.07333621544 -0.000288868080239 0.965164422371 0.0155850670696 0.827178523705 0.000303274878065 -36.1344119077 0.0190919717809 9.07148897633e-05 -0.000292049249118 0.000305813595406 0.0192517908867 0.0638929290771 0.616000940992 0 4.18791666667 4.4 8.7 619.350006104 17.9 164.647846093 6.284902625 6.63317875
20151012 10 113.5367343 61.1110086772 -0.00023612790652 1.16784003748 -0.000244322206241 1.12959885823 0.0156013488376 1.07122518037 0.000339778940931 -67.0114443086 0.0213900010228 -0.00018885260231 -0.000258805749556 0.00032038370964 0.0201690188865 0.12039828968 0.543517123346 1 22.3806944444 4.4 9.4 627.799987793 5.7 296.019337728 6.43807175 6.681992375
20151012 11 116.79990934 63.6224604099 -0.000252919804016 1.21328064539 -0.000206912162247 1.14311741611 0.0157058708459 1.04497749722 0.000326773729282 -70.3568044335 0.0205712878627 -0.000206062398304 -0.000235869262411 0.000313202843131 0.0197169639665 0.119115325928 0.55473100113 1 22.5766666667 4.25 9.65 627.75 3.4 171.703397401 6.355963125 6.58773075
