# ssize snr pt gain qgain maptol numiter
4 10 0 0.95793 1.02598 0.0301856 7
4 10 10 0.920664 0.945949 0.0406697 9
4 10 50 0.944834 0.838141 0.0439941 11
4 10 100 0.940653 0.813461 0.0424371 13
4 10 150 0.88952 0.924177 0.0490183 16
4 30 0 0.996471 0.943975 0.0351142 7
4 30 10 0.95643 0.961506 0.0498316 9
4 30 50 0.968544 0.931407 0.0495437 11
4 30 100 0.973398 0.904823 0.0403937 14
4 30 150 0.958941 0.935543 0.048684 17
4 100 0 0.964533 0.942114 0.0291222 7
4 100 10 0.958199 0.941766 0.0390427 9
4 100 50 0.94947 0.943403 0.04264 11
4 100 100 0.950192 0.930265 0.0406466 14
4 100 150 0.941863 0.94217 0.0416763 17
4 300 0 0.952797 0.953409 0.0356245 7
4 300 10 0.95139 0.954648 0.0319346 9
4 300 50 0.946626 0.952342 0.0438701 12
4 300 100 0.945686 0.94839 0.0410816 15
4 300 150 0.941551 0.951582 0.0431428 19
4 1000 0 0.947222 0.94755 0.0371166 7
4 1000 10 0.94716 0.948732 0.0124106 9
4 1000 50 0.944544 0.94922 0.036936 12
4 1000 100 0.94092 0.946202 0.0494097 13
4 1000 150 0.934732 0.945994 0.0425018 15
4 3000 0 0.939848 0.931997 0.0249994 7
4 3000 10 0.939657 0.932895 0.0324856 9
4 3000 50 0.935542 0.934324 0.0363094 12
4 3000 100 0.9279 0.936755 0.0453141 17
4 3000 150 0.919408 0.937751 0.0439444 25
4 10000 0 0.912099 0.865169 0.044638 10
4 10000 10 0.909777 0.865776 0.0483578 11
4 10000 50 0.899301 0.866605 0.0469027 17
4 10000 100 0.87144 0.875892 0.04909 33
4 10000 150 0.787866 0.905285 0.0487742 94
8 10 0 1.07055 0.80098 0.0361123 7
8 10 10 1.00087 0.899896 0.0461558 9
8 10 50 0.993003 1.1364 0.0409197 12
8 10 100 1.00013 1.028 0.0491077 14
8 10 150 1.03487 1.05461 0.0466521 19
8 30 0 1.05092 0.92125 0.0294968 8
8 30 10 1.02906 0.992257 0.0251931 9
8 30 50 1.03699 1.02713 0.0383803 15
8 30 100 0.996918 0.974476 0.0462574 18
8 30 150 0.992621 0.974309 0.049969 23
8 100 0 1.01076 0.982102 0.0375314 8
8 100 10 0.996537 0.995446 0.0389388 9
8 100 50 1.00724 1.01049 0.0496188 16
8 100 100 0.982593 0.985541 0.0426446 20
8 100 150 0.981776 0.967573 0.0496523 26
8 300 0 0.991482 0.986731 0.0384158 9
8 300 10 0.988558 0.987228 0.0406582 11
8 300 50 0.98957 0.997001 0.0499091 19
8 300 100 0.981848 0.987067 0.0454653 26
8 300 150 0.977 0.983475 0.048482 34
8 1000 0 0.986656 0.989477 0.0327887 10
8 1000 10 0.985853 0.987223 0.0404746 13
8 1000 50 0.98193 0.988482 0.0418606 22
8 1000 100 0.975731 0.990455 0.048948 28
8 1000 150 0.965873 0.987471 0.0466115 33
8 3000 0 0.985032 0.987536 0.0254975 10
8 3000 10 0.984063 0.985354 0.0299951 13
8 3000 50 0.976556 0.988292 0.047358 23
8 3000 100 0.968858 0.98955 0.0467728 40
8 3000 150 0.940979 0.995175 0.0492552 91
8 10000 0 0.979539 0.978782 0.0361923 16
8 10000 10 0.977777 0.978159 0.0438114 21
8 10000 50 0.947257 0.988086 0.048567 68
8 10000 100 0.722228 1.07178 0.452919 200
8 10000 150 0.652286 1.08044 0.79411 200
12 10 0 1.14361 1.05774 0.0365714 8
12 10 10 1.04451 1.09191 0.0376422 9
12 10 50 1.07076 1.42744 0.0491537 15
12 10 100 0.948426 1.31131 0.0462422 19
12 10 150 0.925485 1.3433 0.0483226 25
12 30 0 1.08033 1.01592 0.043835 9
12 30 10 1.03812 0.890974 0.0357978 12
