{
{ This is a test file for REMIP
{
{  It contains some dummy IP measurements - do not use for real data
{
{  Created on 19990115 by Tim Jenness
{
{  OK, now the data are real for the LW array (NB at 850 microns)
{  and for G12 (since re-mounting, 11/98 onwards)
{  - JSG, 19990120
{
{  File contains data the following data:
{
{   BolName   - Name of bolometer (eg H7,G12..)
{   P0        - IP percentage polarization at the horizon
{   P0Err     - Error in P0
{   PSlope    - Gradient in P (ie P = P0 + Pslope * Elevation)
{   PSlopeErr - Error in PSlope
{   Theta0    - polarization angle of IP (degrees)
{   Theta0Err - Error in polarisation angle
{   ThetaSlope- Gradient in Theta (ie Theta = Theta0 + ThetaSlope * El)
{   ThSlErr   - Error in ThetaSlope

{ FAST axis angles

FAST 850 -2.5
FAST 450  3.5

{ Long-wave array
G1  1.03  0.27 0.0  0.0   135  7  1   0
G2  1.03  0.31 0.0  0.0   154  8  1   0
G3  0.34  0.29 0.0  0.0   169  19 1   0
G4  1.87  0.64 0.0  0.0   198  9  1   0
G7  0.41  0.34 0.0  0.0   155  18 1   0
G8  0.85  0.20 0.0  0.0   143  7  1   0
G9  0.98  0.10 0.0  0.0   170  3  1   0
G10 1.26  0.21 0.0  0.0   167  5  1   0
G11 1.64  0.76 0.0  0.0   151  12 1   0
G13 1.07  0.47 0.0  0.0   156  11 1   0
G14 1.21  0.35 0.0  0.0   164  8  1   0
G15 1.18  0.23 0.0  0.0   182  6  1   0
G16 0.90  0.25 0.0  0.0   176  8  1   0
H1  0.74  0.30 0.0  0.0   144  11 1   0
H2  0.93  0.14 0.0  0.0   173  4  1   0
H4  1.13  0.24 0.0  0.0   164  6  1   0
H5  0.45  0.21 0.0  0.0   157  12 1   0
H6  1.26  0.17 0.0  0.0   171  4  1   0
H7  1.08  0.10 0.0  0.0   158  3  1   0 
H8  1.10  0.23 0.0  0.0   158  6  1   0
H9  0.76  0.21 0.0  0.0   152  7  1   0
H10 0.50  0.52 0.0  0.0   161  21 1   0
H11 1.01  0.28 0.0  0.0   159  8  1   0
H12 0.98  0.22 0.0  0.0   180  6  1   0
H13 0.91  0.22 0.0  0.0   163  7  1   0
H14 1.02  0.17 0.0  0.0   171  5  1   0
H15 0.72  0.18 0.0  0.0   141  7  1   0
H16 0.98  0.57 0.0  0.0   200  14 1   0
I1  0.94  0.40 0.0  0.0   158  11 1   0
I2  1.27  0.52 0.0  0.0   144  11 1   0
I3  0.65  0.24 0.0  0.0   161  10 1   0
I4  1.15  0.51 0.0  0.0   190  12 1   0
I5  0.46  0.39 0.0  0.0   143  18 1   0
I6  1.16  0.55 0.0  0.0   147  12 1   0
I7  0.65  0.41 0.0  0.0   190  15 1   0
I8  0.97  0.29 0.0  0.0   163  8  1   0
I9  0.37  0.54 0.0  0.0   181  24 1   0

{ short-wave array                     
