QueryResult

# Config entry for original catalog server:
serv_type: catalog
long_name: USNO at ESO
short_name: usno@eso
url: http://archive.eso.org/skycat/servers/usnoa-server?%ra%dec&radius=%r1,%r2&%cond&format=8&sort=mr
symbol: mag {circle {} {} {} {} {}} {{(25-$mag)/3600.} {deg 2000}} : b_mag {plus green {} {} {} {}} {{(25-$b_mag)/3600.} {deg 2000}}
search_cols: mag {Brightest (min)} {Faintest (max)}
sort_cols: mag
copyright: Provided by courtesy of the US Naval Observatory
# End config entry

ID	ra	dec	mag	b_mag	qual	field	gsc	d'	pa
--	--	---	---	-----	----	-----	---	--	--
U1275_02200198	03:19:48.158	+41:30:43.38	7.4	8.4	1	00199	-	0.036	356.248
U1275_02201699	03:19:54.146	+41:33:48.38	8.1	9.9	0	00199	-	3.314	19.716
U1275_02194812	03:19:26.753	+41:32:25.58	9.0	10.7	0	00199	-	4.370	293.494
U1275_02196641	03:19:34.250	+41:34:49.87	9.3	11.2	0	00199	-	4.895	327.872
U1275_02201046	03:19:51.466	+41:34:24.56	9.6	11.6	0	00199	-	3.773	9.400
U1275_02202935	03:19:59.078	+41:28:46.02	10.1	11.8	0	00199	-	2.803	133.213
U1275_02198232	03:19:40.577	+41:32:55.03	10.1	11.9	0	00199	-	2.645	327.510
U1275_02202049	03:19:55.565	+41:31:23.27	10.5	14.7	0	00199	-	1.552	63.120
U1275_02197151	03:19:36.214	+41:29:57.88	10.9	12.9	0	00199	-	2.352	252.133
U1275_02201067	03:19:51.518	+41:27:23.76	11.5	13.0	0	00199	-	3.350	169.202
U1275_02203383	03:20:00.902	+41:33:13.54	11.6	13.9	0	00199	-	3.482	43.166
U1275_02200918	03:19:50.978	+41:26:10.54	11.8	12.9	0	00199	-	4.542	173.343
U1275_02197434	03:19:37.277	+41:29:09.56	12.1	14.6	0	00199	-	2.548	233.190
U1275_02200216	03:19:48.218	+41:32:50.14	12.1	12.9	0	00199	-	2.149	0.243
U1275_02202471	03:19:57.278	+41:31:34.72	12.6	13.3	0	00199	-	1.924	62.372
U1275_02200155	03:19:47.966	+41:25:46.24	12.6	14.0	0	00199	-	4.916	180.443
U1275_02199079	03:19:43.834	+41:27:25.09	12.9	14.5	0	00199	-	3.368	193.958
U1275_02204399	03:20:04.973	+41:34:21.65	13.2	14.3	0	00199	-	4.836	40.532
U1275_02206633	03:20:14.062	+41:30:28.91	13.2	15.3	0	00199	-	4.852	92.382
U1275_02201297	03:19:52.500	+41:32:59.28	13.3	14.9	0	00199	-	2.440	19.391
U1275_02196879	03:19:35.162	+41:30:39.53	13.3	14.6	0	00199	-	2.435	269.363
U1275_02194975	03:19:27.425	+41:32:30.73	13.4	17.0	0	00199	-	4.291	295.207
U1275_02203859	03:20:02.765	+41:30:33.77	13.4	15.3	0	00199	-	2.735	92.575
U1275_02203824	03:20:02.650	+41:30:59.29	13.6	14.4	0	00199	-	2.727	83.636
U1275_02199273	03:19:44.664	+41:26:47.36	13.6	15.2	0	00199	-	3.952	189.570
U1275_02196378	03:19:33.072	+41:34:15.13	13.6	14.4	0	00199	-	4.549	321.629
U1275_02196804	03:19:34.901	+41:33:42.52	13.7	15.3	0	00199	-	3.911	320.607
U1275_02194651	03:19:26.093	+41:32:19.07	13.8	16.6	0	00199	-	4.442	291.570
U1275_02200303	03:19:48.583	+41:28:08.98	13.9	14.7	0	00199	-	2.538	178.252
U1275_02200973	03:19:51.187	+41:31:25.61	14.1	15.3	0	00199	-	0.931	37.330
U1275_02197179	03:19:36.319	+41:34:21.04	14.1	14.9	0	00199	-	4.283	328.831
U1275_02204146	03:20:03.994	+41:33:44.82	14.3	15.2	0	00199	-	4.259	44.034
U1275_02204220	03:20:04.238	+41:26:45.85	14.5	15.4	0	00199	-	4.944	142.478
U1275_02203834	03:20:02.688	+41:26:50.17	14.5	15.8	0	00199	-	4.714	144.748
U1275_02202523	03:19:57.478	+41:26:40.34	14.5	15.8	0	00199	-	4.377	156.511
U1275_02200991	03:19:51.254	+41:32:07.30	14.9	16.7	0	00199	-	1.547	21.919
U1275_02202910	03:19:59.002	+41:28:56.82	15.0	16.5	0	00199	-	2.672	130.608
U1275_02196035	03:19:31.598	+41:33:37.98	15.0	15.7	0	00199	-	4.278	313.559
U1275_02196774	03:19:34.795	+41:27:28.04	15.0	16.0	0	00199	-	4.079	217.906
U1275_02202329	03:19:56.710	+41:31:07.86	15.1	17.0	0	00199	-	1.659	74.450
U1275_02194365	03:19:24.965	+41:30:36.83	15.1	15.6	0	00199	-	4.345	269.072
U1275_02204081	03:20:03.670	+41:34:20.24	15.1	16.5	0	00199	-	4.662	38.447
U1275_02200628	03:19:49.913	+41:34:07.61	15.1	16.6	0	00199	-	3.456	5.412
U1275_02204825	03:20:06.710	+41:32:02.72	15.1	16.3	0	00199	-	3.727	68.591
U1275_02196892	03:19:35.208	+41:30:00.61	15.1	17.1	0	00199	-	2.519	254.445
U1275_02199239	03:19:44.513	+41:30:58.10	15.1	15.7	0	00199	-	0.740	292.364
U1275_02198565	03:19:41.753	+41:30:36.97	15.2	15.9	0	00199	-	1.204	266.651
U1275_02204959	03:20:07.313	+41:32:07.98	15.2	16.7	0	00199	-	3.864	67.989
U1275_02204723	03:20:06.329	+41:30:44.86	15.2	17.2	0	00199	-	3.400	88.947
U1275_02198619	03:19:41.954	+41:29:58.52	15.2	16.3	0	00199	-	1.364	238.574
U1275_02203209	03:20:00.173	+41:32:36.17	15.3	17.2	0	00199	-	2.953	49.516
U1275_02196367	03:19:33.012	+41:31:23.34	15.3	16.6	0	00199	-	2.923	283.924
U1275_02204363	03:20:04.817	+41:29:49.02	15.3	16.4	0	00199	-	3.236	105.569
U1275_02205391	03:20:08.846	+41:30:07.49	15.3	15.8	0	00199	-	3.911	98.227
U1275_02202203	03:19:56.201	+41:26:35.16	15.4	16.5	0	00199	-	4.368	159.844
U1275_02198438	03:19:41.290	+41:27:20.81	15.4	16.6	0	00199	-	3.580	201.109
U1275_02204109	03:20:03.828	+41:32:17.95	15.5	16.7	0	00199	-	3.345	61.161
U1275_02196097	03:19:31.855	+41:27:10.26	15.5	16.4	0	00199	-	4.658	221.017
U1275_02196625	03:19:34.176	+41:33:56.16	15.5	16.5	0	00199	-	4.173	321.154
U1275_02199125	03:19:44.038	+41:32:25.80	15.5	16.2	0	00199	-	1.907	336.080
U1275_02195340	03:19:28.843	+41:31:04.19	15.6	17.0	0	00199	-	3.638	276.075
U1275_02201254	03:19:52.301	+41:25:49.12	15.6	16.3	0	00199	-	4.929	170.961
U1275_02196456	03:19:33.458	+41:30:17.60	15.6	16.1	0	00199	-	2.782	261.889
U1275_02202648	03:19:57.991	+41:27:02.48	15.6	17.3	0	00199	-	4.083	153.210
U1275_02196854	03:19:35.086	+41:29:28.03	15.6	16.7	0	00199	-	2.737	243.558
U1275_02200172	03:19:48.046	+41:27:22.82	15.6	17.9	0	00199	-	3.307	180.403
U1275_02200824	03:19:50.628	+41:34:24.20	15.6	16.9	0	00199	-	3.745	7.051
U1275_02205108	03:20:07.788	+41:32:22.42	15.7	17.2	0	00199	-	4.041	65.296
U1275_02194992	03:19:27.509	+41:31:12.14	15.7	16.3	0	00199	-	3.902	277.626
U1275_02194455	03:19:25.390	+41:29:03.80	15.8	16.3	0	00199	-	4.564	249.198
U1275_02200896	03:19:50.880	+41:27:53.10	15.8	17.4	0	00199	-	2.847	169.727
U1275_02196346	03:19:32.926	+41:26:43.08	15.8	17.2	0	00199	-	4.889	215.754
U1275_02197824	03:19:38.933	+41:29:07.55	15.8	16.6	0	00199	-	2.329	227.948
U1275_02196561	03:19:33.914	+41:29:24.76	15.8	17.8	0	00199	-	2.958	244.508
U1275_02196714	03:19:34.565	+41:26:31.49	15.8	16.5	0	00199	-	4.880	211.495
U1275_02201914	03:19:54.998	+41:30:45.25	15.8	16.3	0	00199	-	1.280	86.975
U1275_02205880	03:20:10.807	+41:29:21.91	15.8	16.9	0	00199	-	4.440	107.283
U1275_02197412	03:19:37.207	+41:26:35.09	15.8	17.3	0	00199	-	4.587	206.608
U1275_02204856	03:20:06.898	+41:30:30.06	15.9	17.5	0	00199	-	3.511	93.005
U1275_02201760	03:19:54.367	+41:33:59.62	15.9	17.0	0	00199	-	3.504	19.313
U1275_02205198	03:20:08.138	+41:27:35.06	16.0	16.9	0	00199	-	4.859	129.650
U1275_02204963	03:20:07.334	+41:32:13.16	16.0	18.5	0	00199	-	3.901	66.837
U1275_02203795	03:20:02.546	+41:29:32.86	16.0	16.7	0	00199	-	2.923	112.916
U1275_02201063	03:19:51.511	+41:26:23.21	16.0	16.8	0	00199	-	4.345	171.714
U1275_02196502	03:19:33.643	+41:33:12.74	16.0	17.5	0	00199	-	3.711	312.916
U1275_02203105	03:19:59.789	+41:34:33.85	16.1	17.1	0	00199	-	4.445	29.262
U1275_02201593	03:19:53.654	+41:30:52.45	16.1	16.8	0	00199	-	1.044	79.643
U1275_02201601	03:19:53.698	+41:27:34.96	16.1	16.9	0	00199	-	3.272	161.550
