## document,version,status,date,pages,wwwcode,title,
MUD/001,1,,1990-01-16,97,,Proceedings of the 1989 ADAM workshop ,
MUD/002,1,,1990-04-01,37,,APIG - User's guide ,
MUD/003,1,,1990-04-01,6,,APIG - Quick reference guide ,
MUD/004,1,,1990-10-18,209,,ASTERIX - Help guide ,
MUD/005,1,,1992-01-01,31,,ASURV - Astronomy survival analysis ,
MUD/006,1,,1989-11-01,14,,ASURV - Censored data in astronomy ,
MUD/007,2,,1990-06-30,105,,SIMBAD - User's guide ,
MUD/008,1,D,1987-01-01,250,,CLUSTAN - User manual ,
MUD/009,1,,1992-01-22,74,,DAOPHOT - User's manual ,
MUD/010,1,,1901-01-01,2,,ALLSTAR - User's guide ,
MUD/011,0,,1983-10-12,110,,EDRS - Manual ,
MUD/012,0,,1989-07-01,13,,FIGARO - Introduction ,
MUD/013,0,,1991-06-11,166,,FIGARO - User's guide ,
MUD/014,0,,1990-01-01,302,,FIGARO - Programmer's guide ,
MUD/015,0,,1979-06-04,26,,FITS - Flexible image transport system ,
MUD/016,4,,1997-08-01,73,,FITSIO - A subroutine interface to FITS format files ,
MUD/017,2,,1994-09-20,133,,FORCHECK - Fortran verifier and programming aid 9, UG ,
MUD/018,0,D,1987-01-01,163,,GENSTAT - An introduction (book) ,
MUD/019,0,D,1989-01-01,233,,GENSTAT - A second course (book) ,
MUD/020,0,D,1989-01-01,749,,GENSTAT - Reference manual (book) ,
MUD/021,0,D,1989-01-01,78,,GENSTAT - Reference summary (booklet) ,
MUD/022,0,D,1989-01-01,175,,GENSTAT - Procedure library manual ,
MUD/023,0,D,1989-01-01,0,,GENSTAT - Newsletters (booklets) ,
MUD/024,0,D,1990-01-01,131,,GENSTAT - Reference manual supplement (release 2) ,
MUD/025,0,D,1990-01-01,37,,GENSTAT - Graphical extension guide (release 2) ,
MUD/026,1,,1989-04-22,164,,CC - Using and porting GNU CC 1.35 ,
MUD/027,0,,1990-08-01,371,,GKS - RAL guide ,
MUD/028,0,,1988-12-01,42,,IDI - Astronomical image processing ,
MUD/029,0,,1990-07-25,9,,IDL - IDI device driver ,
MUD/030,0,,1991-04-02,662,,IDL - User's guide ,
MUD/031,0,,1991-03-01,311,,IDL - User's guide, addendum ,
MUD/044,0,,1901-01-01,20,,IRCAM - Guide and quick reference ,
MUD/046,0,,1901-01-01,5,,IUEDR - Release notes ,
MUD/047,0,,1988-07-01,60,,IUE newsletter 30 ,
MUD/048,0,,1986-09-01,242,,LATEX - User's guide & reference manual ,
MUD/052,0,,1989-05-01,64,,MAPLE - Introduction ,
MUD/053,1,,1991-07-15,108,,MEMSYS5 - Users' manual ,
MUD/054,1,,1987-11-11,34,,MONGO - User manual 7.2 ,
MUD/055,0,,1992-07-01,7000,,NAG - Fortran library manual: Mk 15 (10 vols) ,
MUD/056,0,,1986-01-01,245,,NAG - A beginners guide (Book) ,
MUD/057,0,,1901-01-01,0,,NAG - Newsletters, Error bulletins ,
MUD/058,0,,1990-01-01,1400,,NAG - Graphical library supplement: Mk 3 (2 vols) ,
MUD/059,0,,1986-04-01,700,,NCAR - User's manual (Binder) ,
MUD/060,0,,1988-05-15,10,,NOD2 - Primer ,
MUD/061,0,,1989-06-01,98,,PGPLOT - Graphics subroutine library ,
MUD/062,0,,1990-11-08,90,,QDP/PLT - User's guide ,
MUD/063,0,D,1990-11-01,98,,REXEC - Guide & reference 2.4 ,
MUD/064,0,D,1988-06-10,11,,REXEC - Fortran interface ,
MUD/065,0,D,1987-11-01,21,,REXEC - Manipulation of Pulsars data file (RAL-87-104),
MUD/066,0,,1990-12-07,20,,RGASP - Reduced galaxy photometry package ,
MUD/067,0,,1988-10-31,4,,SCAR - Online bibliographic resources ,
MUD/069,0,,1988-10-31,34,,SPECX - Cookbook ,
MUD/070,0,,1992-02-29,181,,SPECX - Users' manual 6.2 ,
MUD/071,0,,1991-06-26,54,,TAUCAL - TAURUS data and how to reduce it 1.0 ,
MUD/072,0,,1901-01-01,483,,TEX - The TEX book (Book) ,
MUD/073,0,,1986-07-04,22,,TEX - A brief introduction ,
MUD/074,0,D,1901-01-01,800,,TOOLPACK - Reference manual ,
MUD/075,1,,1901-01-01,24,,USSP - Manual ,
MUD/076,0,,1988-03-01,9,,USSP - ULDA 1.0 ,
MUD/077,0,,1988-03-01,21,,USSP - Manager's guide 1.0 ,
MUD/078,0,,1988-02-01,39,,USSP - User's guide 1.0 ,
MUD/079,0,,1990-03-01,359,,METAFONT - The METAFONT Book ,
MUD/080,0,,1991-02-01,110,,LATEX - Cookbook ,
MUD/081,2,D,1992-01-01,264,,GENSTAT - Procedure library manual 2.2 ,
MUD/082,0,D,1993-01-01,326,,GENSTAT - Procedure library manual 2.3 ,
MUD/101,1,,1996-02-09,324,,AIPS - Cookbook ,
MUD/102,0,,1986-10-01,290,,EMACS - Unix editor (GNU) ,
MUD/103,0,,1980-04-01,44,,ESPS - Edinburgh spectral processing system ,
MUD/104,0,,1989-05-26,240,,IRAF - User handbook: Vol 1A IRAF system ,
MUD/105,0,,1989-12-03,320,,IRAF - User handbook: Vol 2B User's Guides/Cookbook ,
MUD/107,0,,1982-08-01,69,,SIMPLEPLOT - User's handbook ,
MUD/108,0,,1990-12-01,27,,DECWINDOWS - Cookbook ,
MUD/109,0,,1988-04-07,12,,Entity naming conventions ,
MUD/110,0,,1991-02-01,41,,EXOSAT database system - On-line user's guide ,
MUD/111,0,,1991-02-01,122,,EXOSAT database system - Browse user's guide ,
MUD/112,0,,1991-02-01,76,,EXOSAT database system - Available databases ,
MUD/113,0,,1989-12-15,6,,JANET/SPAN mail & terminal gateway: user's guide ,
MUD/114,7,,1990-03-23,56,,Mail hints ,
MUD/115,0,,1988-05-03,130,,Prime networking manual ,
MUD/116,0,,1982-01-01,19,,Starlink (Q Jl R astr Soc, 1982) ,
MUD/117,0,,1988-09-21,8,,Smithsonian astronomical software documentation ,
MUD/118,1,,1993-01-01,33,,Electronic-mail guide ,
MUD/119,0,,1991-02-01,128,,XSPEC version 2 - User's guide ,
MUD/120,0,,1990-04-01,51,,Improving the security of your Unix system ,
MUD/121,7,,1991-07-01,28,,Unix for beginners ,
MUD/122,0,,1989-04-01,27,,An introduction to display editing with Vi ,
MUD/123,0,,1989-05-01,2,,Vi - Quick reference card ,
MUD/124,3,,1991-06-01,6,,An introduction to running Fortran programs on Unix ,
MUD/125,1,,1992-01-01,96,,Zen and the art of the Internet ,
MUD/126,0,,1992-06-01,95,,A gentle introduction to TeX ,
MUD/127,2,,1994-09-20,174,,PlusFORT - Reference Manual (SPAG) ,
MUD/128,15,,1992-07-01,640,,NAG - Fortran Library, Introductory Guide (Mk 15) ,
MUD/129,1,,1992-08-04,43,,Computer viruses and related threats ,
MUD/130,1,,1990-06-08,44,,Coping with the threat of computer security incidents ,
MUD/131,1,,1992-08-01,22,,CCP7LIB - The CCP7 program data library: Introduction ,
MUD/132,5,,1996-01-05,11,,MNRAS - Latex style guide for authors ,
MUD/133,4,,1996-01-05,14,,MNRAS - Plain Tex style guide for authors ,
MUD/134,1,,1993-02-25,15,,IXI OSF/Motif 1.2 Developer's Pack ,
MUD/135,1,,1993-02-08,22,,On-line data and information in astronomy ,
MUD/136,1,,1992-10-01,10,,Network resources for astronomers ,
MUD/137,1,,1991-01-01,253,,MAPLE V - Language reference manual ,
MUD/138,1,,1991-01-01,698,,MAPLE V - Library reference manual ,
MUD/139,1,,1992-01-01,253,,MAPLE V - A tutorial introduction ,
MUD/140,1,,1991-01-01,30,,SAOIMAGE - User manual ,
MUD/141,3,,1994-10-01,55,,PINE - Technical notes 3.91 ,
MUD/142,1,,1993-03-08,88,,FITS - Definition of Flexible Image Transport System ,
MUD/143,2,,1994-04-01,35,,The ROSAT data archive centre - User guide 2.0 ,
MUD/144,1,,1993-08-09,61,,MAPLE - Newsletters ,
MUD/145,1,,1993-08-09,52,,MAPLE V - Release 2 Notes ,
MUD/146,1,,1992-01-15,31,,UNIX - Frequently asked questions ,
MUD/147,1,D,1993-05-08,3,,Getting started with NCSA Mosaic ,
MUD/148,1,D,1993-05-08,5,,NCSA Mosaic technical summary ,
MUD/149,2,,1995-03-01,22,,HTML - A beginner's guide ,
MUD/150,1,,1993-11-01,3,,URLs - A beginner's guide ,
MUD/151,1,,1993-06-02,33,,HTML - Hypertext markup language ,
MUD/152,2,,1995-04-25,44,,The LaTeX2HTML translator ,
MUD/153,1,,1993-01-16,23,,FTNCHECK - Fortran program checker ,
MUD/154,1,,1991-11-01,194,,STSDAS - Users Guide ,
MUD/155,2,,1993-09-15,100,,Guide to network resource tools ,
MUD/156,1,,1994-11-25,51,,IRAF - Image reduction analysis facility - FAQ ,
MUD/157,13,,1994-12-01,41,,IRAF - Newsletter 13 ,
MUD/158,1,,1995-01-16,36,,SKYCAL - SKYCALC user's manual ,
MUD/159,1,,1995-01-27,208,,SM - Interactive plotting program 2.3.1 ,
MUD/160,1,,1995-01-27,16,,SM - The SM tutorial ,
MUD/161,1,,1995-02-14,4,,IDL - !Support (Newsletter) ,
MUD/162,1,,1995-04-01,33,,FITSIO - Cookbook, 1.1 ,
MUD/163,1,,1995-10-31,2,,HTML Quick Reference Guide ,
MUD/164,1,,1996-04-16,109,,Tcl/Tk Cookbook ,
SG/0001,2,V,1988-04-01,54,sg1 ,ASPIC - Guide ,
SGP/011,1,D,1991-10-17,6,sgp11 ,Starlink software submission for Unix systems ,
SGP/019,5,D,1987-03-30,6,sgp19 ,Starlink software submission ,
SGP/020,6,D,1990-11-16,2,sgp20 ,Starlink software management ,
SGP/043,1,D,1994-08-24,97,sgp43 ,Starlink software survey results - 1994 ,
SGP/046,2,D,1997-04-09,11,sgp46 ,Starlink's software work during 1996 ,
SSN/001,2,V,1991-02-26,3,ssn1 ,NOCBS - Using CBS mail on satelites ,
SGP/048,1,D,1996-04-04,53,sgp48 ,Starlink Software Priorities for 1996 ,
SSN/002,1,V,1989-12-06,11,ssn2 ,MSP - Message system primitive routines 2.1 ,
SSN/005,1,V,1990-05-13,4,ssn5 ,APIG - Installation guide ,
SSN/009,5,D,1995-11-15,11,ssn9 ,Installing the Unix Starlink software ,
SSN/010,1,V,1992-04-14,4,ssn10 ,GENSTAT 5 - Installation instructions ,
SSN/013,1,V,1992-08-11,3,ssn13 ,COLDMON - Cold file analysis package ,
SSN/015,8,V,1992-11-20,18,ssn15 ,Starlink software installation - VMS ,
SSN/034,3,V,1986-08-12,6,ssn34 ,CDS - Database administrator's guide ,
SSN/040,8,V,1992-01-02,36,ssn40 ,FIGARO - Release notes 3.0-3 ,
SSN/041,7,V,1993-02-01,19,ssn41 ,Starlink software changes ,
SSN/044,11,V,1994-01-19,13,ssn44 ,ADAM - Installation guide ,
SSN/045,17,V,1994-02-01,14,ssn45 ,ADAM - Release 2.1 ,
SSN/060,1,V,1988-11-25,5,ssn60 ,ASPIC - Release notes for EDRS and EDRSX ,
SSN/066,2,D,1992-06-27,8,ssn66 ,Starlink software organisation on Unix ,
SUN/003,6,V,1989-05-10,8,sun3 ,FORMCON - Data format conversion ,
SUN/004,7,V,1989-05-17,40,sun4 ,INTERIM - Starlink software environment ,
SUN/006,2,V,1986-08-01,10,sun6 ,AATGS - Guide probe predictions for AAT ,
