## document,initials,authornum,
LGP/026,MDL,0,
LGP/027,MDL,0,
LGP/028,PTW,0,
LGP/028,RWS,0,
LSN/001,ACC,0,
LSN/001,MJB,0,
LSN/003,ACC,0,
LSN/007,CJP,0,
LSN/012,MDL,0,
LSN/013,MDL,0,
LSN/017,AVR,0,
LSN/026,MDL,0,
LSN/028,MDL,0,
LSN/029,AVR,0,
LSN/029,MJC,0,
LSN/031,MDL,0,
LSN/033,PMA,0,
LSN/035,DLT,0,
LUN/001,AVR,0,
LUN/001,DLT,0,
LUN/001,JCS,0,
LUN/001,MDL,0,
LUN/002,DJR,0,
LUN/003,MJB,0,
LUN/004,CAC,0,
LUN/005,DJR,0,
LUN/005,JCS,0,
LUN/008,MJB,0,
LUN/009,ACC,0,
LUN/013,DJR,0,
LUN/013,MJB,0,
LUN/018,MDL,0,
LUN/021,DEM,0,
LUN/022,MDL,0,
LUN/023,DP ,0,
LUN/023,MDL,0,
LUN/025,MDL,0,
LUN/025,MJB,0,
LUN/026,MDL,0,
LUN/027,MLK,0,
LUN/029,MC ,0,
LUN/035,DLT,0,
LUN/042,MDL,0,
LUN/043,SLW,0,
LUN/047,MDL,0,
LUN/050,PMA,0,
LUN/051,MDL,0,
LUN/052,MDL,0,
LUN/054,MDL,0,
LUN/056,M2P,0,
MUD/001,AJC,1,
MUD/002,MP ,2,
MUD/003,ACD,1,
MUD/003,MP ,2,
MUD/004,RDS,1,
MUD/005,EDF,1,
MUD/006,EDF,1,
MUD/007,FB ,1,
MUD/007,MW ,2,
MUD/007,SL ,3,
MUD/008,DW ,1,
MUD/009,PBS,1,
MUD/010,PBS,1,
MUD/011,?  ,1,
MUD/012,KS ,1,
MUD/013,KS ,1,
MUD/014,KS ,1,
MUD/015,DCW,1,
MUD/016,WDP,1,
MUD/017,?  ,1,
MUD/018,NA ,1,
MUD/018,NG ,2,
MUD/018,PL ,3,
MUD/019,NG ,1,
MUD/019,PD ,2,
MUD/019,PL ,3,
MUD/020,?  ,1,
MUD/021,?  ,1,
MUD/022,?  ,1,
MUD/023,?  ,1,
MUD/024,?  ,1,
MUD/025,?  ,1,
MUD/026,RS ,1,
MUD/027,?  ,1,
MUD/028,DLT,1,
MUD/029,?  ,1,
MUD/030,?  ,1,
MUD/031,?  ,1,
MUD/044,ISM,1,
MUD/046,JG ,1,
MUD/045,PCR,1,
MUD/045,JG ,2,
MUD/045,DM ,3,
MUD/045,MXC,4,
MUD/047,?  ,1,
MUD/048,LL ,1,
MUD/049,?  ,1,
MUD/050,RLA,1,
MUD/051,RLA,1,
MUD/052,DH ,1,
MUD/053,?  ,1,
MUD/055,?  ,1,
MUD/054,NF ,0,
MUD/056,JXP,1,
MUD/057,?  ,1,
MUD/058,?  ,1,
MUD/059,?  ,1,
MUD/060,GS ,1,
MUD/061,TJP,1,
MUD/062,AFT,1,
MUD/063,BJR,1,
MUD/064,BJR,1,
MUD/065,SR ,1,
MUD/066,JID,1,
MUD/067,JRW,1,
MUD/069,TW ,1,
MUD/070,RP ,1,
MUD/071,JL ,1,
MUD/072,DK ,1,
MUD/073,NRA,1,
MUD/075,WW ,1,
MUD/074,?  ,0,
MUD/002,ACD,1,
MUD/077,CD ,1,
MUD/077,FP ,2,
MUD/078,CD ,1,
MUD/078,FP ,2,
MUD/079,DK ,1,
MUD/080,FT ,1,
MUD/081,?  ,1,
MUD/082,?  ,1,
MUD/101,EWG,1,
MUD/102,RS ,1,
MUD/103,BDK,1,
MUD/104,DT ,1,
MUD/105,DT ,1,
MUD/107,JB ,1,
MUD/108,JW ,1,
MUD/109,JAJ,1,
MUD/110,?  ,1,
MUD/111,?  ,1,
MUD/112,?  ,1,
MUD/113,DLT,1,
MUD/114,TC ,1,
MUD/115,?  ,1,
MUD/116,MJD,1,
