## Name,Type,Owner,
document,table,postgres,
document_author,table,postgres,
document_keyword,table,postgres,
document_status,table,postgres,
person_initials,table,postgres,
software,table,postgres,
software_category,table,postgres,
software_class,table,postgres,
software_class_class,table,postgres,
software_class_level,table,postgres,
software_class_main,table,postgres,
software_command,table,postgres,
software_domain,table,postgres,
software_release,table,postgres,
software_release_detail,table,postgres,
software_release_doc,table,postgres,
software_reltype,table,postgres,
software_set,table,postgres,
software_status,table,postgres,
software_support_class,table,postgres,
software_support_level,table,postgres,
software_support_person,table,postgres,
software_url,table,postgres,
