## software,category,number,status,domain,set_soft,non_ussc,class_support,level_support,directory,descrip,comment,
ADAM ,1,25,R,,C,,S,A,,Starlink software environment ,Renamed to PCS at USSC129 ,
MOSAIC ,7,7,D,P,B,,N,C,,Hypertext Xwindows browser ,Withdrawn at USSC213, Spring 1999 ,
AIPS ,1,38,%,,D,*,N,C,,Astronomical image processing system ,Available from Manchester ,
EXTRACTOR ,1,80,*,,O,,S,B,/star/sources/extractor ,Astronomical source detection ,,
ORAC-DR ,1,81,*,,O,,N,A,/star/sources/oracdr ,JAC data reduction pipeline system ,,
HXIS ,3,23,D,,O,,U,N,,Hard X-ray imaging spectrometer ,Deleted at USSC111 ,
IDL ,1,39,%,C,R,*,C,B,,Interactive Data Language ,Available from RSI (via RAL) ,
MEMSYS ,2,36,*,C,R,,C,B,/star/memsys ,Maximum entropy image reconstruction ,MEDC ltd; access via group protection only ,
MIDAS ,1,41,%,,D,*,N,D,,Munich image data analysis system ,Available from ESO ,
MONGO ,1,21,%,,O,,N,C,,Interactive plotting programs ,Available from John Tonry ,
NAG ,2,1,*,C,O,,C,B,/star/nag ,Mathematical and Graphical subroutine library ,NAG Ltd. ,
RGASP ,1,45,%,,O,,N,D,,Reduced galaxy surface photometry package ,,
TPOINT ,3,21,D,,O,,U,N,/star/tpoint ,Telescope pointing analysis system ,Deleted at USSC201 ,
VMSBACKUP ,4,96,D,,C,,U,N,,VMS BACKUP tape reading utility ,Deleted at USSC111 ,
XADAM ,1,66,D,,C,,U,N,,GUI for running ADAM applications ,Deleted at USSC179 ,
AST ,2,56,*,,C,,S,A,/star/sources/ast ,Astrometry and WCS library ,,
A2PS ,4,95,*,P,C,,N,D,/star/sources/a2ps ,Ascii to PostScript convertor ,,
AGI ,2,28,*,,C,,S,B,/star/sources/agi ,Applications graphics interface ,,
ARD ,2,51,*,,C,,S,A,/star/sources/ard ,ASCII region definition library ,,
ARY ,2,34,*,,C,,S,A,/star/sources/ary ,ARRAY data structures access routines ,,
ASTROM ,3,2,*,,C,,S,A,/star/sources/astrom ,Basic astrometry ,,
CAT ,2,50,*,,C,,S,A,/star/sources/cat ,Catalogue access library ,,
CATAPP ,1,67,D,,O,,S,A,/star/sources/cat-examples ,Catalogue manipulation examples ,Withdrawn at USSC189. Material now available as CAT examples ,
CCDPACK ,1,48,*,,O,,S,A,/star/sources/ccdpack ,CCD data reduction ,,
CHR ,2,32,*,,C,,S,A,/star/sources/chr ,Character handling routines ,,
CNF ,2,38,*,,C,,S,A,/star/sources/cnf ,C and Fortran mixed programming ,,
COCO ,3,13,*,,C,,S,A,/star/sources/coco ,Conversion of celestial coordinates ,,
CONVERT ,1,34,*,,C,,S,A,/star/sources/convert ,Data format conversion package ,,
DIPSO ,1,17,*,,O,,S,A,/star/sources/dipso ,Spectrum Analysis and Plotting package ,,
DOCFIND ,4,33,*,,C,,S,E,/star/sources/docfind ,Starlink document search ,,
ECHOMOP ,1,65,*,,O,,S,B,/star/sources/echomop ,Echelle data reduction package ,,
ECHWIND ,3,25,*,,O,,N,C,/star/sources/echwind ,UCL echelle spectrograph observation planning ,,
EMS ,2,33,*,,C,,S,A,/star/sources/ems ,Error message service ,,
ESP ,1,69,*,,O,,S,B,/star/sources/esp ,Extended Surface Photometry ,,
EXPECT ,7,10,*,P,B,,S,C,/star/sources/tclsys ,Interactive program control ,,
FIO ,2,43,*,,C,,S,A,/star/sources/fio ,Fortran I/O routines ,,
FITSIO ,2,42,*,,C,,N,C,/star/sources/fitsio ,Disk FITS I/O routines ,,
