## class,class_main,class_level,cc_order,cc_descrip,
CA ,A,,4,Astronomical Catalogue Access ,
CL ,P,,1,Compilers and Languages ,
DAPH,P,LH,1,Data access ,
DH ,A,,9,General Data Handling ,
ED ,A,,15,Editors ,
GR ,A,,5,Graphics ,
GRPH,P,LH,2,Graphics ,
GRPL,P,LL,4,Graphics ,
INPH,P,LH,6,Infrastructure ,
INPL,P,LL,3,Infrastructure ,
IP ,A,,3,Image Processing and Photometry ,
IR ,A,,13,Information Sources ,
MAPH,P,LH,3,Mathematical ,
MS ,A,,10,Mathematics and Statistics ,
OP ,A,,12,Observation Planning ,
PO ,A,,8,Polarimetry ,
PT ,A,,11,Astronomical Positions and Times ,
PTPH,P,LH,4,Astronomical Positions and Time ,
SE ,A,,1,Software Environment ,
SMPH,P,LH,5,String manipulation ,
SMPL,P,LL,2,String manipulation ,
SP ,A,,2,Spectroscopy ,
ST ,P,,2,Tools and Standards ,
TP ,A,,14,Text Processing ,
DAPL,P,LL,1,Data access ,
TS ,A,,7,Time Series ,
WI ,A,,6,Wavelengths and Instruments ,
