## release,software,version,type,comment,
000 ,CHR ,,new ,,
000 ,EMS ,,new ,,
000 ,GKS ,,new ,,
000 ,GNS ,,new ,,
000 ,SGS ,,new ,,
001 ,NAG ,,new ,,
002 ,TEX ,v3.14 ,new ,,
003 ,EMS ,,update ,,
004 ,CNF ,,new ,,
004 ,PSX ,,new ,,
005 ,CHR ,,update ,,
005 ,GKS ,,update ,,
005 ,GNS ,,fix ,,
005 ,PGPLOT ,,new ,,
005 ,PSX ,,update ,,
005 ,SGS ,,update ,,
006 ,GKS ,,update ,,
006 ,GWM ,,new ,,
006 ,PGPLOT ,,fix ,,
007 ,GKS ,,fix ,,
007 ,HDS ,,new ,,
008 ,CNF ,,fix ,,
008 ,HDS ,,fix ,,
008 ,PSX ,,fix ,,
008 ,XDISPLAY ,,new ,,
009 ,EMACS ,,new ,,
010 ,SLALIB ,,new ,,
011 ,TEX ,,update ,,
012 ,GWM ,,update ,,
012 ,TEX ,,update ,,
013 ,GWM ,,fix ,,
013 ,SPT ,,new ,,
013 ,TEX ,,update ,,
014 ,EMS ,,update ,,
014 ,GKS ,,fix ,,
014 ,GNS ,,fix ,,
014 ,GWM ,,fix ,,
014 ,MERS ,,new ,,
014 ,PGPLOT ,,fix ,,
014 ,PSX ,,fix ,,
014 ,SGS ,,fix ,,
015 ,HDS ,,update ,,
016 ,GNS ,,update ,,
017 ,EMS ,,fix ,,
017 ,IDI ,,new ,,
017 ,MERS ,,fix ,,
017 ,PGPLOT ,,fix ,,
017 ,SGS ,,update ,,
018 ,ADAM ,,new ,,
018 ,ARY ,,new ,,
018 ,CNF ,,update ,,
018 ,EMS ,,update ,,
018 ,FIO ,,new ,,
018 ,GWM ,,update ,,
018 ,HDS ,,fix ,,
018 ,MERS ,,update ,,
018 ,NDF ,,new ,,
018 ,PRIMDAT ,,new ,,
018 ,PSX ,,update ,,
018 ,SPT ,,fix ,,
019 ,ADAM ,,fix ,,
019 ,CHR ,,update ,,
019 ,GKS ,,update ,,
019 ,GNS ,,update ,,
019 ,SGS ,,update ,,
020 ,ADAM ,,fix ,,
020 ,AGI ,,new ,,
020 ,DAOPHOT ,,new ,,
020 ,GNS ,,fix ,,
020 ,IDI ,,update ,,
020 ,NCAR ,,new ,,
020 ,PGPLOT ,,update ,,
020 ,REF ,,new ,,
020 ,TRANSFORM ,,new ,,
021 ,AGI ,,update ,,
021 ,ASURV ,,new ,,
021 ,NEWS ,,new ,,
022 ,ADAM ,,update ,,
022 ,GKS ,,update ,,
022 ,GWM ,,update ,,
022 ,IDI ,,update ,,
022 ,PGPLOT ,,update ,,
022 ,SGS ,,update ,,
023 ,AGI ,,fix ,,
023 ,DAOPHOT ,,update ,,
023 ,GNS ,,fix ,,
023 ,NDF ,,fix ,,
023 ,PHOTOM ,,new ,,
024 ,ADAM ,,fix ,,
024 ,EMS ,,update ,,
024 ,GWM ,,update ,,
024 ,HLP ,,new ,,
024 ,MERS ,,update ,,
024 ,SGS ,,update ,,
024 ,SLALIB ,,update ,,
024 ,SPT ,,update ,,
025 ,ADAM ,,fix ,,
025 ,DAOPHOT ,,relink ,,
025 ,EMS ,,fix ,,
025 ,GKS ,,update ,,
025 ,GNS ,,update ,,
025 ,GWM ,,update ,,
025 ,MERS ,,fix ,,
025 ,PGPLOT ,,update ,,
025 ,PHOTOM ,,relink ,,
025 ,SPT ,,fix ,,
026 ,CCDPACK ,,new ,,
026 ,SGS ,,update ,,
027 ,HLP ,,fix ,,
027 ,PISA ,,new ,,
028 ,A2PS ,,new ,,
028 ,PGPLOT ,,fix ,,
029 ,NCAR ,,fix ,,
029 ,PISA ,,fix ,,
029 ,SNX ,,new ,,
030 ,AGI ,,fix ,,
030 ,GNS ,,update ,,
030 ,IDI ,,fix ,,
031 ,AGI ,,fix ,,
