## software,surname,firstname,comment,
AGI ,McIlwrath ,Brian ,,
ARD ,Berry ,David ,,
AST ,Berry ,David ,,
AIPS ,Chipperfield ,Alan ,,
ARY ,Berry ,David ,,
ASTROM ,Wallace ,Patrick ,,
CAT ,Davenhall ,Clive ,,
CCDPACK ,Draper ,Peter ,,
CGS4DR ,Economou ,Frossie ,,
CHART ,Davenhall ,Clive ,,
CHR ,Chipperfield ,Alan ,,
CNF ,Chipperfield ,Alan ,,
DOCS ,Librarian ,Software ,,
COCO ,Wallace ,Patrick ,,
CONVERT ,Berry ,David ,,
CURSA ,Davenhall ,Clive ,,
DAOPHOT ,Taylor ,Mark ,,
DIPSO ,Berry ,David ,,
DOCFIND ,Librarian ,Software ,,
ECHOMOP ,Gray ,Norman ,,
ECHWIND ,? ,? ,,
EDFITS ,Shortridge ,Keith ,,
EMACS ,McIlwrath ,Brian ,,
EMAIL ,Librarian ,Software ,,
EMS ,Chipperfield ,Alan ,,
ESP ,Gray ,Norman ,,
EXPECT ,Terrett ,Dave ,,
FIGARO ,Davenhall ,Clive ,,
FIO ,Chipperfield ,Alan ,,
FLUXES ,Jenness ,Tim ,,
FORUM ,Rawlinson ,David ,,
FTNCHEK ,Page ,Clive ,,
GAIA ,Draper ,Peter ,,
GCC ,McIlwrath ,Brian ,,
EXTRACTOR ,Draper ,Peter ,,
GHOSTSCRIPT ,Librarian ,Software ,,
GNS ,Platon ,Roy ,,
GRAPHPAR ,McIlwrath ,Brian ,,
IDI ,Platon ,Roy ,,
GV ,McIlwrath ,Brian ,,
GRP ,Berry ,David ,,
GWM ,Terrett ,Dave ,,
HTX ,Taylor ,Mark ,,
HDSTRACE ,Chipperfield ,Alan ,,
HLP ,Wallace ,Patrick ,,
GKS ,Platon ,Roy ,,
ICL ,McIlwrath ,Brian ,,
IDL ,Payne ,Jeff ,IDL Inc ,
IFD ,Chipperfield ,Alan ,,
HDS ,McIlwrath ,Brian ,,
IMG ,Draper ,Peter ,,
INIT ,Librarian ,Software ,,
IRAF ,Chipperfield ,Alan ,,
IRAF ,Librarian ,Software ,,
IRAFSTAR ,Chipperfield ,Alan ,,
IRAS90 ,? ,? ,,
INFO ,Librarian ,Software ,,
IRCAMDR ,Aspin ,Colin ,,
IRCAMDR ,Economou ,Frossie ,,
IRCAMPACK ,Berry ,David ,,
ISPELL ,McIlwrath ,Brian ,,
IUEDR ,Taylor ,Mark ,,
JCMTDR ,Jenness ,Tim ,,
JED ,McIlwrath ,Brian ,,
JPEG ,Librarian ,Software ,,
JPL ,Wallace ,Patrick ,,
KAPPA ,Berry ,David ,,
LATEX2HTML ,Draper ,Peter ,,
MAG ,Chipperfield ,Alan ,,
MAPLE ,Librarian ,Software ,Adept Scientific ,
MEMSYS ,Berry ,David ,MEDC Ltd ,
MERS ,Chipperfield ,Alan ,,
MESSGEN ,McIlwrath ,Brian ,,
MIDAS ,? ,? ,,
MONGO ,Tonry ,John ,,
MOSAIC ,- ,- ,NCSA ,
NAG ,Librarian ,Software ,NAG Ltd ,
NBS ,McIlwrath ,Brian ,,
PGP ,McIlwrath ,Brian ,,
NCAR ,Platon ,Roy ,,
NDFPERL ,Jenness ,Tim ,,
NDPROGS ,- ,- ,,
NEWS ,Librarian ,Software ,,
NUTPU ,- ,- ,,
PAR ,Chipperfield ,Alan ,,
PCS ,Chipperfield ,Alan ,,
PDA ,Berry ,David ,,
PERIOD ,? ,? ,,
PERL ,Librarian ,Software ,,
ORAC-DR ,Jenness ,Tim ,,
PGPLOT ,McIlwrath ,Brian ,,
NDF ,Berry ,David ,,
ORAC-DR ,Economou ,Frossie ,,
PHOTOM ,Allan ,Alasdair ,,
PERLMODS ,Librarian ,Software ,,
ORAC-DR ,Currie ,Malcolm ,,
PINE ,Librarian ,Software ,,
PISA ,Draper ,Peter ,,
POLPACK ,Berry ,David ,,
PRIMDAT ,McIlwrath ,Brian ,,
PSX ,Chipperfield ,Alan ,,
PSMERGE ,Terrett ,Dave ,,
REF ,Chipperfield ,Alan ,,
REPACK ,Ashley ,Jeremy ,,
RGASP ,Davies ,Jon ,,
PONGO ,Allan ,Alasdair ,,
RPS ,Ricketts ,Martin ,,
RV ,Wallace ,Patrick ,,
SAE ,Chipperfield ,Alan ,,
SNX ,Platon ,Roy ,,
SGS ,Platon ,Roy ,,
SGS ,Wallace ,Patrick ,,
SLALIB ,Wallace ,Patrick ,,
SM ,Monger ,Patricia ,,
SOFTLINK ,Terrett ,Dave ,,
SPAG ,Librarian ,Software ,Polyhedron Software ,
SPECX ,Jenness ,Tim ,,
SPECX ,Tilanus ,Remo ,,
SPT ,Terrett ,Dave ,,
STAR2HTML ,Chipperfield ,Alan ,,
STARADMIN ,Gledhill ,Tim ,,
STARMAN ,Penny ,Alan ,,
STARTCL ,Terrett ,Dave ,,
STARX ,Librarian ,Software ,,
SURF ,Jenness ,Tim ,,
SX ,Berry ,David ,,
SX ,Davenhall ,Clive ,,
TAPEIO ,Shortridge ,Keith ,,
TEX ,McIlwrath ,Brian ,Public Domain ,
TK ,Terrett ,Dave ,,
TCSH ,McIlwrath ,Brian ,,
STARPERL ,Jenness ,Tim ,,
SST ,Draper ,Peter ,,
STARPERL ,Librarian ,Software ,,
TPOINT ,Wallace ,Patrick ,,
TWODSPEC ,Holloway ,Anthony ,,
WFCPACK ,Ashley ,Jeremy ,,
WFCPACK ,Denby ,Mike ,,
XANADU ,Arnaud ,Keith ,GSFC ,
XANADU ,Day ,Orin ,GSFC ,
XDISPLAY ,McIlwrath ,Brian ,,
XV ,Librarian ,Software ,,
XEMACS ,McIlwrath ,Brian ,,
XFIG ,McIlwrath ,Brian ,,
TREEVIEW,Taylor,Mark,,
DATACUBE,Allan,Alasdair,,
A2PS ,Librarian,Software,,
ASURV ,Librarian,Software,P.M. Allan, M.J. Bly,
ATOOLS,Berry,David,Last person to update it.,
FINDCOORDS,Davenhall,Clive,,
FITSIO ,Pence ,William ,Software Librarian (external pkg),
CFITSIO,Librarian,Software,AJC,MJB (No doc),(external pkg),
GENERIC ,Librarian,Software,Alan Chipperfield,
GSD,Jenness,Tim,Linux Port V1.0,
HDSTOOLS,Chipperfield,Alan,,
JNIHDS,Taylor,Mark,,
JNIAST,Taylor,Mark,,
JRE,Librarian,Software,Needs jre+jai,
KAPLIBS,Berry,David,,
KAPRH,Berry,David,,
NAOS,Davenhall,Clive,,
NDG,Berry,David,,
OBSERVE ,Librarian,Software,MJB, last to update it,
ONE,Platon,Roy,,
POLMAP ,Harries ,Tim ,USSC last updated it.,
SAOIMAGE ,Librarian,Software,external pkg,
SKYCAL ,Thorstensen ,John ,external pkg,
SPLAT,Draper,Peter,,
XRT,Graffagnino,Vito,Roy Platon (Orig),
TCL ,Terrett ,Dave ,USSC,
TCLSYS,Librarian,Software,Dave Terrett,
RUNTIME,Librarian,Software,,
TRANSFORM ,Berry ,David ,TRN,
TSP ,Bailey ,Jeremy ,USSC,
CATPAC ,? ,? ,Not in sources,
